C02-1122 ==> H01-1043:0.9578, C04-1174:0.9563, W02-1608:0.9258, I08-2110:0.9224, P09-2052:0.8665, N06-1023:0.8437, I05-1005:0.8289, P06-1022:0.7841, D07-1032:0.7799, P02-1028:0.7798
C10-2122 ==> W13-3102:0.9710, W13-3103:0.9652, W13-3101:0.9633, W09-2806:0.9373, N10-3003:0.9312, P12-2070:0.9311, N06-1059:0.9272, P07-2049:0.9254, W08-1406:0.9217, L08-1063:0.9215
W12-2009 ==> D11-1009:0.9441, C14-1190:0.9093, P09-3004:0.9025, P09-2063:0.8928, D12-1058:0.8901, W13-2325:0.8861, P08-1116:0.8837, C14-1118:0.8794, P11-2096:0.8790, L08-1372:0.8760
P14-1022 ==> W06-3603:0.8446, W05-1515:0.8382, P13-2149:0.8353, D10-1003:0.8344, E14-4032:0.8313, W13-3507:0.8298, W06-1636:0.8261, W13-3202:0.8246, N09-2062:0.8243, C10-2161:0.8211
D13-1031 ==> C14-1109:0.9376, W10-4135:0.9295, P12-2075:0.9263, D13-1119:0.9218, D14-1092:0.9178, D13-1061:0.9170, P13-1075:0.9165, J09-4006:0.9156, P12-1027:0.9028, D14-1010:0.9015
W14-2411 ==> W14-2416:0.8853, W14-2406:0.8798, C10-2051:0.8634, S14-2064:0.8584, C14-1122:0.8508, D14-1134:0.8505, W12-0903:0.8458, W08-2222:0.8455, S14-1014:0.8405, W11-0103:0.8379
W06-1208 ==> C10-2120:0.9422, W11-0822:0.9129, E03-1073:0.8343, W11-0815:0.8087, W03-1803:0.8072, C10-3015:0.8010, S10-1058:0.7754, W07-2103:0.7720, S13-2025:0.7688, D07-1086:0.7655
W05-1621 ==> N06-2017:0.9445, W06-1662:0.9281, P04-1050:0.9226, P04-1051:0.8898, P11-3002:0.8896, W08-0127:0.8845, J09-1003:0.8799, W14-2704:0.8776, I05-3016:0.8735, W08-1405:0.8718
W10-0402 ==> W10-1114:0.9070, L08-1251:0.8938, L08-1291:0.8895, L08-1005:0.8894, W12-3213:0.8889, W12-3211:0.8861, P14-2059:0.8816, W12-3204:0.8677, W06-0804:0.8666, N06-1050:0.8609
C00-2104 ==> W03-0810:0.8977, N04-3003:0.8848, W12-1511:0.8786, C00-1021:0.8773, W03-2108:0.8771, W02-1014:0.8733, C02-1027:0.8719, W05-0710:0.8696, W11-0210:0.8690, W09-3704:0.8670
D10-1058 ==> W13-0806:0.9042, P12-2060:0.9033, N10-1050:0.8967, P13-1079:0.8862, W12-3157:0.8812, W11-2151:0.8809, P14-1072:0.8678, N07-2053:0.8642, E14-1045:0.8620, P11-2032:0.8613
W02-0308 ==> W02-0307:0.9817, W06-0907:0.9795, W03-1314:0.9793, A00-1026:0.9767, C04-1087:0.9005, H05-1106:0.8759, W04-0403:0.8671, P11-1017:0.8546, P06-1099:0.8540, W03-1807:0.8426
D14-1023 ==> D13-1082:0.9572, W14-3330:0.9333, N10-1040:0.9310, D14-1003:0.9269, E14-1003:0.9261, W10-1731:0.9246, N13-1114:0.9176, W08-0405:0.9149, D10-1076:0.9136, C14-1039:0.9088
S12-1051 ==> S14-1009:0.8778, S12-1078:0.8686, S12-1095:0.8499, W07-0718:0.8495, S12-1061:0.8480, S12-1083:0.8398, S13-1004:0.8277, S13-1031:0.8158, P11-1020:0.8148, S13-1025:0.8055
P10-2008 ==> C08-1065:0.9968, P04-1026:0.9855, W13-1107:0.9755, C04-1139:0.9751, C08-1118:0.9643, L08-1030:0.9435, W06-1657:0.9414, W13-1735:0.9322, W12-2508:0.9200, P09-2081:0.9194
J09-3004 ==> W10-3906:0.9731, W14-1114:0.9673, L08-1443:0.9398, P06-1046:0.9165, P05-1004:0.9123, W11-2505:0.9085, W11-2508:0.9048, W06-2205:0.9014, C14-1067:0.8959, W11-0136:0.8951
W06-1420 ==> D07-1011:0.9954, W10-4221:0.9934, W00-1416:0.9932, W01-0804:0.9930, C08-1055:0.9925, W00-1424:0.9924, L08-1090:0.9918, J02-1003:0.9914, W06-1410:0.9913, W08-1138:0.9908
W00-1202 ==> L08-1377:0.9703, P99-1004:0.9672, N03-2033:0.9665, W05-0710:0.9661, C02-2013:0.9639, C00-2149:0.9637, C02-2015:0.9635, W05-1617:0.9634, W02-1303:0.9624, W03-0905:0.9621
W12-3409 ==> W09-1405:0.8370, C10-2104:0.8328, L08-1346:0.8264, P08-1039:0.8161, N07-2002:0.8099, W09-1106:0.8068, L08-1600:0.8008, P12-4002:0.7972, W06-2603:0.7960, W08-1307:0.7946
C00-2100 ==> C02-1118:0.9464, P03-1015:0.8592, C04-1056:0.8528, C04-1123:0.8455, L08-1210:0.8409, C02-1121:0.8376, E03-1087:0.8325, C02-1040:0.8241, I05-6010:0.8190, W03-0410:0.7934
P07-1105 ==> W08-2002:0.8747, W12-2801:0.8733, Q13-1007:0.8687, C10-2102:0.8624, P11-1028:0.8611, P10-1083:0.8585, J13-2005:0.8565, W14-0207:0.8471, D12-1040:0.8401, D14-1043:0.8370
W14-0302 ==> P11-2068:0.9749, P06-2061:0.9535, W14-0309:0.9348, N07-2015:0.9246, E14-2012:0.9128, D08-1051:0.9096, J09-1002:0.9079, P10-2032:0.9071, N09-1013:0.9044, P14-2094:0.9018
J02-3002 ==> A00-2035:0.9815, N09-2061:0.9511, J06-4003:0.9413, C02-2005:0.9223, W01-0516:0.8784, N10-3006:0.8494, W03-0505:0.8487, P05-3007:0.8460, P06-2083:0.8301, P12-1067:0.8292
W09-1504 ==> W05-0304:0.9342, W14-1006:0.8976, W09-1219:0.8933, L08-1222:0.8447, L08-1429:0.8411, W06-1113:0.8405, H05-1100:0.8357, W06-2930:0.8245, W06-2938:0.8214, W09-1203:0.8209
L08-1485 ==> W14-3359:0.9337, N07-4004:0.9324, W07-0710:0.9293, W08-0405:0.9291, W14-3330:0.9250, E14-1003:0.9243, W10-1731:0.9221, N13-1033:0.9219, C14-1039:0.9182, W11-1009:0.9174
W07-2005 ==> W05-0631:0.9228, P14-1120:0.9144, C04-1179:0.9124, W06-2106:0.9068, E12-1070:0.9009, W07-2038:0.9005, W05-0627:0.8996, P08-1063:0.8986, C10-2083:0.8973, W05-0629:0.8891
P12-1052 ==> D11-1115:0.9478, P09-2014:0.9404, D09-1085:0.9211, C10-2051:0.9179, S10-1060:0.9174, P10-1035:0.9174, L08-1073:0.9139, C08-1069:0.9089, D09-1126:0.9049, S10-1009:0.9041
D09-1107 ==> P10-1049:0.9134, N12-1004:0.8693, E12-1025:0.8658, N07-2015:0.8644, P11-2029:0.8627, C10-2021:0.8613, P09-1036:0.8590, P08-2007:0.8572, C10-1040:0.8565, W14-3309:0.8564
W12-1638 ==> W11-2014:0.9918, W13-4063:0.9881, P12-3018:0.9880, W12-1808:0.9848, W11-2015:0.9847, W11-0144:0.9842, N10-2009:0.9838, E12-1052:0.9825, W09-3902:0.9824, W12-1814:0.9821
D14-1130 ==> W13-2231:0.8557, Q13-1014:0.8466, W12-0111:0.8447, W08-0330:0.8410, W13-1740:0.8406, W12-3120:0.8381, N10-1078:0.8353, W13-2250:0.8321, W14-3303:0.8281, P11-2027:0.8241
J13-3007 ==> P13-4018:0.9138, P05-2025:0.8794, P13-1052:0.8790, D13-1018:0.8766, W12-4004:0.8741, D10-1108:0.8716, W09-2508:0.8700, P09-1031:0.8642, N12-1051:0.8575, P13-2095:0.8490
C04-1063 ==> S10-1033:0.9422, P03-1045:0.9410, S10-1035:0.9398, W05-0110:0.9395, P01-1003:0.9366, W11-2031:0.9347, W12-1001:0.9338, W09-0633:0.9308, W10-4231:0.9306, E99-1003:0.9305
E03-2008 ==> P99-1004:0.9631, W09-2818:0.9606, P99-1079:0.9551, W02-1116:0.9545, N07-1059:0.9541, W08-0702:0.9540, J04-2005:0.9536, W04-1302:0.9516, W09-3203:0.9507, E03-1042:0.9504
S12-1095 ==> S14-1009:0.9185, S12-1061:0.9111, S12-1083:0.8942, S12-1078:0.8899, S13-1031:0.8689, S12-1051:0.8499, S14-1006:0.8483, S14-2039:0.8420, S14-2102:0.8365, S12-1086:0.8325
W09-2420 ==> S10-1096:0.9436, C08-1003:0.9002, S10-1093:0.8769, E09-1006:0.8757, S10-1095:0.8435, S10-1091:0.8417, W07-2074:0.8359, S10-1012:0.8355, P07-1007:0.8322, L08-1250:0.8312
C08-1072 ==> P08-2027:0.9937, D09-1077:0.9773, N09-1074:0.9772, W02-1007:0.9763, N04-1011:0.9716, P06-1021:0.9712, W05-1519:0.9697, N01-1016:0.9633, N06-2019:0.9626, W02-1035:0.9587
C14-1132 ==> C14-1076:0.9494, J14-2002:0.9346, D12-1044:0.9297, W13-4916:0.9265, D14-1109:0.9257, C14-1078:0.9249, W14-2412:0.9248, P14-2128:0.9248, E14-4006:0.9235, Q13-1002:0.9235
W05-0309 ==> W05-0312:0.9378, W04-2704:0.9026, L08-1597:0.8954, W07-1212:0.8937, W05-0306:0.8817, I08-7010:0.8775, W08-2130:0.8655, C10-2156:0.8630, P09-1084:0.8613, W06-0612:0.8598
P12-2007 ==> D10-1014:0.9265, N10-1128:0.9142, W10-1761:0.9065, D14-1209:0.9051, C10-2096:0.9030, D09-1108:0.8995, P11-1065:0.8981, D09-1038:0.8951, P09-1065:0.8949, E09-1061:0.8943
P13-1024 ==> C14-1047:0.8016, S14-2010:0.7890, P12-2028:0.7284, P14-2036:0.7255, C14-1157:0.7198, C10-1023:0.7191, S13-1022:0.7166, P11-1052:0.7093, D13-1199:0.7057, S13-1036:0.7038
P14-2093 ==> W12-3159:0.9041, W10-1759:0.8906, N09-2001:0.8837, W14-3314:0.8832, W14-3363:0.8829, W09-0421:0.8814, D10-1060:0.8810, W11-2151:0.8802, P12-1100:0.8801, W12-3154:0.8795
W11-1102 ==> D10-1073:0.9077, C14-1152:0.9038, C14-1123:0.8992, E12-1060:0.8949, S13-2035:0.8835, S13-2039:0.8785, P11-2053:0.8725, W11-2214:0.8715, P14-5012:0.8711, W10-4163:0.8704
P14-3010 ==> S12-1089:0.9343, S13-1001:0.9256, W10-2806:0.9145, W11-0136:0.9118, C10-1049:0.8996, C14-1067:0.8982, L08-1443:0.8918, W14-5418:0.8910, D11-1130:0.8902, W09-1109:0.8885
D12-1046 ==> J11-1005:0.9089, P11-1141:0.9026, P12-1110:0.8951, D12-1132:0.8951, E14-1018:0.8913, P14-2042:0.8872, D13-1062:0.8799, D11-1109:0.8689, W13-4904:0.8686, P13-2110:0.8684
C02-1090 ==> W04-2103:0.9413, W13-5011:0.8897, C08-1058:0.8895, P11-4014:0.8889, C00-1047:0.8869, N06-1052:0.8782, P03-1017:0.8781, C02-1125:0.8746, W10-3506:0.8729, P14-1068:0.8708
W03-1003 ==> W05-1508:0.9803, W03-0316:0.9695, P06-2039:0.9654, W05-0808:0.9294, I08-1009:0.9231, I08-3011:0.9136, P06-4002:0.8963, W02-1819:0.8894, W05-0704:0.8891, W06-3208:0.8890
P09-2037 ==> C00-1013:0.9135, W04-2201:0.9057, W08-0325:0.8675, W10-1730:0.8572, W13-2220:0.8103, W11-2153:0.7990, W13-3003:0.7980, W12-3132:0.7932, P10-1054:0.7910, N10-1118:0.7819
N07-3010 ==> D08-1096:0.9395, W07-0212:0.9384, L08-1229:0.9347, W10-2308:0.9322, E03-1020:0.9286, W06-3812:0.9270, W10-4172:0.9270, W04-2602:0.9261, P06-3002:0.9240, W09-1707:0.9230
P13-1174 ==> P12-2013:0.9275, P14-1145:0.9193, D08-1058:0.9180, E14-1040:0.9126, W11-0145:0.9060, W13-3524:0.9059, S10-1014:0.9058, S14-2148:0.9055, S14-2140:0.9023, P10-1061:0.8933
P07-1026 ==> P06-2010:0.8965, W09-2601:0.8934, W06-2607:0.8896, D07-1062:0.8780, W05-0634:0.8759, P08-1040:0.8702, N07-1069:0.8699, W08-2133:0.8685, H05-2004:0.8661, W06-2611:0.8630
C10-2078 ==> S12-1017:0.9054, D13-1145:0.8446, P14-2121:0.8202, S13-2018:0.8001, W11-0807:0.7991, P06-2046:0.7924, W13-0905:0.7877, W09-0213:0.7860, D09-1049:0.7855, W07-1106:0.7743
S12-1004 ==> P12-3026:0.8775, W12-0201:0.8284, C14-1025:0.8266, P06-4004:0.8241, E12-1059:0.8240, P10-1087:0.8144, D09-1124:0.8068, P13-4007:0.8066, P11-2063:0.8032, D14-1065:0.8017
W06-3325 ==> P10-1099:0.8666, I08-2132:0.8506, I08-2079:0.8364, W08-2111:0.8277, P12-3003:0.8244, W05-0632:0.8177, W06-3308:0.8065, W05-0404:0.8054, W05-0621:0.8043, P07-1075:0.8021
W10-0704 ==> I08-6006:0.9325, D11-1082:0.9286, P08-4006:0.9243, W07-1520:0.9230, P06-1065:0.9219, W10-2917:0.9126, N07-2053:0.9120, C08-2014:0.9045, D07-1006:0.9044, P06-1097:0.9044
N07-2031 ==> N10-3004:0.9066, W09-2605:0.9026, W02-1203:0.8983, W04-1505:0.8973, W06-2304:0.8945, W07-2205:0.8927, P06-1008:0.8927, W04-0311:0.8924, W07-1209:0.8874, L08-1449:0.8864
N09-1050 ==> W08-0912:0.9883, W13-1707:0.9860, W14-1814:0.9842, N12-1011:0.9816, W13-1737:0.9807, W09-2101:0.9806, N06-1028:0.9762, W11-1404:0.9684, W14-1816:0.9242, W14-1809:0.8817
P06-2046 ==> W04-0405:0.8885, S12-1017:0.8718, D09-1049:0.8595, D14-1145:0.8559, W07-1106:0.8548, P06-1022:0.8475, C00-2110:0.8297, J14-2007:0.8253, D07-1063:0.8226, D08-1104:0.8200
W13-1713 ==> W10-0513:0.8990, D11-1120:0.8592, P10-1043:0.8575, P08-1034:0.8517, C10-2152:0.8494, D10-1021:0.8480, P12-1043:0.8459, P09-2080:0.8455, P14-2070:0.8417, C10-2153:0.8311
W08-1005 ==> D13-1195:0.9421, W12-1705:0.9351, W09-1008:0.9211, P08-2054:0.9164, W14-2003:0.9141, W13-3507:0.9078, E14-4032:0.9067, D10-1080:0.9015, P12-1024:0.9014, W05-1512:0.9004
I05-1048 ==> P06-2123:0.9039, I08-4022:0.8933, W10-4122:0.8909, I08-4033:0.8814, W06-0123:0.8813, I05-1047:0.8777, W10-4128:0.8774, W04-1109:0.8757, D10-1077:0.8735, I08-4009:0.8699
C10-1019 ==> N06-1046:0.7373, P10-1090:0.7368, C10-1079:0.7324, P11-3020:0.7295, I05-1068:0.7202, N10-1076:0.7195, I08-2132:0.7159, P14-2120:0.7152, W08-2125:0.7144, I08-2079:0.7115
W04-1617 ==> W09-3832:0.9381, W05-1617:0.9322, W06-2916:0.9305, W11-1421:0.9301, E14-3009:0.9215, P09-5004:0.9209, I05-2019:0.9174, C10-2128:0.9164, W09-3712:0.9157, P06-2001:0.9153
W08-1702 ==> W07-1807:0.9972, P05-3008:0.9922, P03-2038:0.9904, W08-1506:0.9881, W07-1806:0.9880, W06-3707:0.9865, E03-1078:0.9850, W00-0311:0.9849, P03-2024:0.9820, E03-2010:0.9818
W09-3929 ==> W05-1623:0.9605, W06-1308:0.9578, W08-1134:0.9576, W09-0612:0.9572, D11-1107:0.9379, P10-1159:0.9358, W13-2107:0.9345, C08-2029:0.9328, W03-0603:0.9305, W08-2120:0.9278
W13-2207 ==> W10-3815:0.9038, W08-0319:0.8793, C14-1210:0.8750, W12-4212:0.8562, W09-0414:0.8554, W10-0715:0.8551, P10-2016:0.8547, W13-2208:0.8538, W08-0310:0.8439, W12-3136:0.8433
W14-4504 ==> E12-1043:0.9033, P14-1054:0.8765, P10-4007:0.8692, W13-3515:0.8617, W10-0915:0.8501, N13-1107:0.8491, W14-1610:0.8487, D11-1049:0.8410, P14-1079:0.8403, N13-1095:0.8396
D08-1051 ==> W14-3340:0.9665, P10-2032:0.9644, W09-0416:0.9370, W12-3111:0.9361, N07-2015:0.9360, W14-0309:0.9334, P08-2020:0.9267, E14-2012:0.9265, P14-2094:0.9237, W14-3338:0.9233
W06-1704 ==> L08-1126:0.9656, L08-1075:0.9544, N07-1045:0.9400, W07-1602:0.9293, C04-1195:0.9233, W06-1707:0.9123, W05-1003:0.9099, W09-0203:0.9088, I05-1067:0.9067, E06-1028:0.9062
C14-2006 ==> W05-1610:0.9665, W10-3210:0.9585, C14-2013:0.9564, W04-2324:0.9526, W06-2709:0.9505, W08-0614:0.9488, W03-0909:0.9448, C04-1061:0.9443, N06-2034:0.9329, C02-2027:0.9280
W02-1815 ==> L08-1355:0.9393, W06-0135:0.9392, I08-4032:0.9390, W03-1709:0.9328, W04-1105:0.9250, W04-1114:0.8921, I08-4009:0.8833, W10-4139:0.8822, W06-0104:0.8790, W06-0124:0.8663
I08-4001 ==> W10-2917:0.9452, C08-2014:0.9411, D14-1016:0.9325, J10-3002:0.9247, P12-2055:0.9241, P08-4006:0.9201, W09-0413:0.9195, D07-1006:0.9069, N07-2053:0.9062, W07-1520:0.9060
N09-2063 ==> W00-0709:0.9487, C02-1077:0.9443, W03-0403:0.8698, L08-1253:0.8635, L08-1302:0.8617, P06-2082:0.8502, D13-1117:0.8481, N04-1012:0.8454, C00-1085:0.8434, P05-2024:0.8408
W12-2205 ==> L08-1230:0.9197, E06-2029:0.9124, H05-1074:0.9073, W08-0910:0.9067, W11-1415:0.9055, E09-1027:0.9000, W12-2206:0.8995, N07-4002:0.8988, H05-1103:0.8966, W06-1416:0.8959
W11-1508 ==> L08-1291:0.8471, W10-1114:0.8432, W10-0402:0.8197, L08-1251:0.7986, W06-0804:0.7899, P14-2059:0.7893, L08-1005:0.7851, N06-1050:0.7801, W04-3113:0.7734, W06-1312:0.7703
P04-1012 ==> P13-1098:0.9562, W10-1013:0.9495, C10-1114:0.9476, W99-0108:0.9472, I05-3009:0.9463, A00-2025:0.9458, W06-3207:0.9448, W02-1303:0.9448, L08-1035:0.9447, C02-2015:0.9436
S14-2003 ==> P14-1122:0.8538, P06-1100:0.8511, W11-0129:0.7995, E12-1059:0.7988, S13-1017:0.7981, D13-1198:0.7899, Q14-1006:0.7867, S14-2010:0.7823, E09-1068:0.7815, P12-3026:0.7793
W10-3016 ==> W08-0607:0.9436, W10-1910:0.9405, W10-3103:0.9239, P11-2049:0.9106, P09-2044:0.9082, P07-1125:0.9070, W08-0606:0.9061, W05-1301:0.9016, D09-1145:0.8973, W10-3023:0.8927
C14-1127 ==> C10-2173:0.9420, P10-1043:0.9241, P14-2139:0.9112, D12-1013:0.9094, C10-2152:0.9092, C14-1126:0.9073, D08-1013:0.9008, P08-1034:0.8992, W10-2918:0.8990, W13-1611:0.8978
E12-3009 ==> N07-2048:0.9323, P08-2028:0.9229, W14-5803:0.9200, W09-2011:0.9195, W08-1124:0.9163, P12-2032:0.9138, C10-2169:0.9118, W11-1716:0.9086, N03-1025:0.9047, P13-2148:0.9035
W04-0703 ==> W07-2106:0.9912, W04-1002:0.9906, W06-0205:0.9871, I05-1025:0.9867, D07-1059:0.9827, W06-1406:0.9370, C04-1036:0.9336, W09-0308:0.9153, L08-1275:0.8734, I05-2026:0.8732
H05-1045 ==> H05-2018:0.9444, C10-2090:0.8624, L08-1088:0.8507, N10-3009:0.8489, W14-3704:0.8263, N06-1026:0.8262, D09-1159:0.8228, L08-1087:0.8195, W10-1608:0.8186, L08-1160:0.8146
D13-1141 ==> D14-1015:0.7532, P14-5004:0.7105, E14-1049:0.7089, P14-2089:0.6916, P14-1066:0.6843, W11-0329:0.6828, D07-1086:0.6683, P13-2087:0.6660, P14-1129:0.6564, J10-3002:0.6502
D14-1082 ==> W10-0702:0.8153, D14-1109:0.7987, D08-1052:0.7898, D09-1021:0.7831, Q13-1012:0.7826, P12-1081:0.7816, P14-1063:0.7769, N13-1070:0.7713, C10-1007:0.7710, P14-2106:0.7646
W09-0420 ==> P09-2059:0.8924, W13-2807:0.8708, W14-3308:0.8618, C08-1027:0.8605, E09-3008:0.8601, W13-2221:0.8598, D09-1115:0.8564, W11-2150:0.8548, W13-0805:0.8537, W11-2126:0.8503
D12-1001 ==> D12-1125:0.8745, P10-1003:0.8743, D11-1005:0.8738, P14-1126:0.8660, P13-1105:0.8639, W09-1104:0.8631, N13-1126:0.8609, W12-1903:0.8609, D11-1117:0.8603, D09-1086:0.8537
W08-0608 ==> W09-2208:0.8724, P09-3003:0.8690, P07-2012:0.8632, W08-0605:0.8598, W09-1902:0.8562, W08-0610:0.8473, W07-1008:0.8472, W07-1009:0.8422, D12-1126:0.8358, W13-1909:0.8325
N10-1051 ==> W10-0712:0.7901, N09-1032:0.7776, S14-2076:0.7700, E14-1043:0.7687, W14-4715:0.7623, W13-1616:0.7576, W10-0104:0.7564, P14-3001:0.7546, W10-0728:0.7543, P13-1004:0.7518
N10-1025 ==> D11-1064:0.9139, D09-1116:0.8762, D10-1002:0.8678, D09-1087:0.8541, P11-2109:0.8463, D10-1080:0.8434, N10-1005:0.8068, W13-3202:0.7984, W13-3507:0.7969, C10-1151:0.7927
N10-1130 ==> D14-1063:0.9409, P11-1083:0.9383, N09-1026:0.9303, N12-1027:0.9284, W11-1011:0.9273, W09-3801:0.9257, N07-1063:0.9254, W11-2160:0.9250, P09-2036:0.9237, E12-1082:0.9213
P06-1088 ==> W08-2222:0.8857, C10-2051:0.8757, P07-2009:0.8657, W04-3215:0.8590, W14-2406:0.8579, S14-2064:0.8543, S14-1014:0.8514, S12-1040:0.8502, W09-0107:0.8253, I05-1018:0.8222
N13-3003 ==> P11-1124:0.9299, W12-3139:0.9273, W08-0327:0.9190, C14-1039:0.9166, W14-4803:0.9137, W13-2219:0.9112, W13-3302:0.9110, W10-1706:0.9097, W14-3308:0.9089, W14-3320:0.9084
I08-5006 ==> W09-3009:0.9493, W11-0104:0.9418, W02-1303:0.9382, P04-1012:0.9367, W05-1106:0.9348, C08-1043:0.9319, W02-0710:0.9318, W10-2705:0.9307, W06-2410:0.9290, P13-2062:0.9282
P02-1051 ==> W02-0505:0.9597, W03-1503:0.9205, P04-1024:0.9169, I08-1037:0.9165, W06-1902:0.9152, I05-1003:0.9034, W03-0317:0.9001, W03-1502:0.8979, N04-1036:0.8967, P06-2025:0.8965
W12-3127 ==> D13-1139:0.9207, W11-1015:0.9131, W12-3126:0.9080, W12-3125:0.9020, W11-2211:0.8987, N13-1032:0.8969, P11-2067:0.8959, D14-1133:0.8944, C10-2086:0.8928, W11-2139:0.8911
W08-1008 ==> W14-4911:0.9358, W06-2935:0.8972, S10-1068:0.8921, L08-1356:0.8895, W06-2927:0.8876, E09-1047:0.8826, J14-3001:0.8807, W08-1007:0.8785, W14-0406:0.8743, L08-1571:0.8705
A00-1004 ==> W00-0507:0.9851, L08-1577:0.9655, P07-2002:0.9646, W04-1406:0.9508, A00-1019:0.9333, P00-1006:0.9309, W00-0707:0.9203, W10-2916:0.9162, W03-0413:0.9121, W02-1020:0.9105
N13-1079 ==> S10-1087:0.9416, H05-1069:0.9276, S10-1094:0.9209, S14-2133:0.9185, W06-2503:0.9084, D14-1042:0.9081, P10-1155:0.9077, W11-1506:0.9074, S13-2030:0.9069, P10-3003:0.9053
D10-1056 ==> P13-3017:0.9101, D12-1086:0.9095, D11-1059:0.9087, N12-1045:0.9042, D10-1020:0.9038, W12-1913:0.8932, D12-1075:0.8886, D08-1036:0.8846, D09-1071:0.8839, P11-1087:0.8824
W07-2038 ==> W07-1518:0.9597, W05-0631:0.9368, I05-1070:0.9345, I08-2132:0.9308, H05-2004:0.9307, W05-0632:0.9294, W05-0627:0.9290, W05-0638:0.9281, W06-1622:0.9266, E12-1070:0.9260
W04-1212 ==> P03-1060:0.9256, P03-1052:0.9250, W02-1816:0.9246, L08-1543:0.9240, W10-0912:0.9235, W04-1710:0.9219, W04-2507:0.9197, W09-1311:0.9160, L08-1362:0.9146, P03-2008:0.9132
S14-2111 ==> S13-2081:0.8427, S14-2020:0.7933, S13-2083:0.7785, N13-2002:0.7770, S14-2122:0.7770, W10-0216:0.7718, S14-2028:0.7709, D14-1128:0.7703, W10-3111:0.7669, D14-1080:0.7657
C08-1016 ==> J05-3004:0.9652, W06-1311:0.9531, W06-2906:0.9434, P07-1067:0.9186, W04-0706:0.9171, P03-2012:0.9002, W08-2215:0.8929, E06-1030:0.8929, I05-1065:0.8893, P07-1068:0.8873
N09-1032 ==> N06-1010:0.8991, P09-1001:0.8777, W10-0104:0.8594, I08-5004:0.8502, P08-1029:0.8463, W13-3501:0.8298, D12-1068:0.8277, P08-2059:0.8268, D09-1158:0.8263, W06-1660:0.8251
N06-2023 ==> W09-3934:0.9277, P10-1009:0.9205, D10-1084:0.9070, N07-2054:0.9067, W09-3910:0.9040, P02-1059:0.8995, W00-0901:0.8958, D11-1069:0.8893, W00-1437:0.8825, P11-1118:0.8823
D12-1100 ==> P10-2043:0.8933, N09-1058:0.8865, P11-2004:0.8783, W10-1503:0.8721, N12-1083:0.8438, D11-1023:0.8312, N13-1092:0.8029, P14-2112:0.7993, N12-1034:0.7937, W11-2122:0.7805
W06-0301 ==> S14-2099:0.9128, L08-1088:0.8975, N12-1085:0.8955, W13-3524:0.8931, W10-1608:0.8897, W10-3309:0.8870, W07-2072:0.8864, N10-3009:0.8742, N03-2022:0.8716, W13-2707:0.8710
W09-2410 ==> S13-2043:0.8795, S13-2041:0.8725, S10-1089:0.8718, D14-1065:0.8596, C08-1009:0.8577, W11-1506:0.8497, D14-1042:0.8436, W10-2304:0.8355, S10-1028:0.8349, S13-2040:0.8342
P10-4009 ==> N06-2051:0.9382, N09-2019:0.9255, W08-0708:0.9036, P07-2046:0.8930, N04-3005:0.8885, W09-0809:0.8861, P10-3006:0.8848, H05-1085:0.8825, P10-1047:0.8749, W06-3102:0.8729
W14-1505 ==> W11-1301:0.8540, C10-2041:0.8488, W13-3203:0.8291, W09-0215:0.8285, W14-1406:0.8269, W13-3510:0.8242, P13-2083:0.8240, N09-2060:0.8201, W13-3209:0.8190, S14-2049:0.8181
E12-3002 ==> W09-1907:0.7736, D11-1088:0.7476, P12-1057:0.7414, N09-3010:0.7383, W11-0313:0.7382, P04-1069:0.7338, P13-2045:0.7323, D10-1078:0.7209, D08-1004:0.7206, D10-1102:0.7162
H01-1065 ==> H01-1054:0.9688, W00-0405:0.9566, W02-0402:0.9562, W08-2229:0.9422, I05-2004:0.8903, W02-0404:0.8877, W03-1203:0.8804, W03-0510:0.8754, W00-1426:0.8732, W04-1011:0.8587
W10-0713 ==> L08-1390:0.9213, S13-2065:0.8491, W14-3901:0.8459, W14-5818:0.8430, D14-1105:0.8412, W14-2807:0.8403, P14-1104:0.8392, W14-5405:0.8339, D11-1145:0.8336, W10-0728:0.8296
W14-4602 ==> C14-3004:0.9577, W12-2032:0.9334, W14-1708:0.9316, W08-1205:0.9274, L08-1322:0.9267, W13-3601:0.9264, W14-3616:0.9254, W13-3613:0.9222, W14-3615:0.9217, W10-1004:0.9196
D11-1013 ==> N10-1059:0.8974, W06-3301:0.8922, D12-1015:0.8896, P11-1164:0.8823, C08-1052:0.8809, P09-2043:0.8775, W14-5906:0.8743, W14-3010:0.8733, P09-2045:0.8676, L08-1395:0.8673
P11-1045 ==> W12-2107:0.9479, P11-2119:0.9233, P14-2129:0.8840, N09-1073:0.8754, C08-1071:0.8626, W13-3202:0.8583, P11-2126:0.8513, D12-1096:0.8491, D10-1002:0.8407, C14-1052:0.8405
W10-3908 ==> I05-1023:0.9027, C08-1007:0.8997, L08-1582:0.8899, E09-1003:0.8865, N04-1034:0.8844, N10-1070:0.8787, L08-1371:0.8755, C08-1017:0.8752, W06-1009:0.8746, D07-1036:0.8735
W04-0607 ==> W03-1313:0.9922, W02-1706:0.9879, W03-0802:0.9566, W03-0112:0.9245, W03-0812:0.9217, W00-0708:0.9212, C02-1071:0.9114, C04-1185:0.8961, P03-1014:0.8900, W06-2304:0.8688
