C02-1122 ==> C04-1174:0.9666, H01-1043:0.9425, W02-1608:0.9353, I08-2110:0.9298, N06-1023:0.8873, D09-1151:0.8837, P09-2052:0.8735, I05-1005:0.8460, I08-1065:0.8349, D07-1032:0.8205
C10-2122 ==> W13-3102:0.9844, W13-3103:0.9842, P13-2024:0.9762, W13-3101:0.9757, W09-2806:0.9660, J13-2002:0.9565, D09-1032:0.9488, N10-3003:0.9461, P08-1094:0.9451, P12-2070:0.9438
W12-2009 ==> E12-1073:0.9307, W11-1604:0.9127, D12-1058:0.9071, W10-0711:0.9071, P09-2050:0.9028, C14-1190:0.8979, W13-2325:0.8961, P13-2008:0.8956, W07-1410:0.8905, P11-2096:0.8885
P14-1022 ==> W13-3507:0.9200, P14-1099:0.9107, P08-2054:0.9053, D12-1019:0.9027, P14-3007:0.9011, W13-3202:0.8972, D13-1195:0.8963, E14-4032:0.8941, S12-1024:0.8908, P14-1069:0.8882
D13-1031 ==> P14-2033:0.9431, I08-4030:0.9362, W10-4136:0.9257, P07-2007:0.9254, E09-1031:0.9250, W10-4122:0.9244, D14-1010:0.9243, W06-0117:0.9217, W06-0140:0.9207, I05-3019:0.9196
W14-2411 ==> W14-2406:0.9397, C08-2001:0.9233, I08-2096:0.9201, W07-1426:0.9183, C08-1028:0.9156, S14-2064:0.9148, P06-2091:0.9145, W06-3910:0.9112, W07-1408:0.9108, P07-3002:0.9062
W06-1208 ==> C10-2120:0.8661, W11-0815:0.7938, E03-1073:0.7922, D07-1110:0.7908, W07-0730:0.7907, S13-2026:0.7810, W11-0822:0.7764, S10-1058:0.7760, N09-2018:0.7745, W04-2010:0.7733
W05-1621 ==> N06-2017:0.9682, J09-1003:0.9607, P11-3002:0.9558, W06-1662:0.9310, P04-1050:0.9133, L08-1389:0.9035, P14-2099:0.8984, W14-2704:0.8965, P04-1051:0.8910, E12-1032:0.8906
W10-0402 ==> W12-3209:0.9281, L08-1291:0.9099, W10-1114:0.9023, L08-1005:0.8968, W12-3204:0.8858, W12-3213:0.8841, L08-1251:0.8791, W12-3202:0.8702, N06-1050:0.8662, W06-0804:0.8602
C00-2104 ==> W02-0227:0.9332, P11-4024:0.9323, L08-1035:0.9315, W13-3401:0.9315, W11-0110:0.9313, W08-0204:0.9292, I05-3015:0.9278, N03-1035:0.9278, W10-2203:0.9276, W02-0112:0.9268
D10-1058 ==> H05-1023:0.9292, W12-3158:0.9250, C10-2124:0.9227, P13-1140:0.9206, P09-1018:0.9201, W08-0321:0.9170, W11-2142:0.9137, W12-3154:0.9123, W10-2602:0.9117, C14-1192:0.9115
W02-0308 ==> W06-0907:0.9881, A00-1026:0.9848, W02-0307:0.9838, W03-1314:0.9814, C04-1087:0.9062, W14-0809:0.8897, W04-0403:0.8868, W03-1807:0.8839, C04-1141:0.8813, W14-0813:0.8708
D14-1023 ==> D13-1082:0.9468, N12-1005:0.9265, D14-1179:0.9137, J12-3007:0.9114, D14-1003:0.9045, W12-2701:0.9012, C14-1181:0.8966, W10-1759:0.8947, W12-2702:0.8892, D11-1080:0.8836
S12-1051 ==> S12-1083:0.8934, S12-1078:0.8751, S12-1061:0.8749, S12-1095:0.8735, S14-1009:0.8603, P11-1020:0.8549, S13-1016:0.8505, S13-1008:0.8377, S14-1006:0.8353, W07-0718:0.8331
P10-2008 ==> C08-1065:0.9956, P04-1026:0.9832, W13-1107:0.9750, C04-1139:0.9741, C08-1118:0.9716, W06-1657:0.9569, L08-1030:0.9526, P09-2081:0.9516, W13-1735:0.9493, C04-1088:0.9326
J09-3004 ==> W10-3906:0.9798, W14-1114:0.9668, P05-1004:0.9246, L08-1443:0.9201, W06-1654:0.9190, P06-1046:0.9113, W07-0610:0.9092, W10-0607:0.9082, W06-1406:0.9052, J05-4002:0.8994
W06-1420 ==> D07-1011:0.9964, C08-1055:0.9950, L08-1090:0.9949, W10-4221:0.9939, W01-0804:0.9937, W05-1626:0.9937, W06-1409:0.9935, W00-1416:0.9931, C04-1171:0.9930, W06-1410:0.9928
W00-1202 ==> C02-1062:0.9681, E12-1057:0.9601, W09-3412:0.9597, W00-1014:0.9596, W99-0611:0.9586, C00-1021:0.9584, P01-1054:0.9574, I05-3009:0.9573, W13-2715:0.9565, W09-3207:0.9565
W12-3409 ==> C10-1122:0.8666, W14-5205:0.8606, N12-1030:0.8542, L08-1099:0.8497, C10-2018:0.8435, W07-2203:0.8377, P07-1031:0.8319, P08-1070:0.8293, L08-1149:0.8263, W06-1620:0.8261
C00-2100 ==> C02-1118:0.9457, C04-1056:0.8582, L08-1210:0.8287, P03-1015:0.8117, W06-1614:0.8064, C02-1121:0.7860, P07-3003:0.7843, D07-1066:0.7758, I05-6010:0.7704, L08-1213:0.7669
P07-1105 ==> W12-2801:0.9336, C10-2102:0.9089, P11-1028:0.8846, D14-1043:0.8843, Q13-1005:0.8836, W14-0207:0.8776, P10-1083:0.8729, W12-1912:0.8727, W12-2802:0.8691, W14-1607:0.8634
W14-0302 ==> P11-2068:0.9836, W14-0309:0.9543, P06-2061:0.9427, P11-4012:0.9334, P06-2107:0.9332, J09-1002:0.9280, W05-0834:0.9228, E03-1007:0.9149, I05-1042:0.9120, E14-2012:0.9091
J02-3002 ==> A00-2035:0.9809, N09-2061:0.9747, J06-4003:0.9567, C02-2005:0.9308, N10-3006:0.8908, W01-0516:0.8735, P12-1067:0.8716, P06-2083:0.8531, W03-0505:0.8380, P05-3007:0.8353
W09-1504 ==> W05-0304:0.9106, H05-1100:0.8863, W14-1006:0.8447, W06-2938:0.8389, W06-2923:0.8318, L08-1429:0.8309, W06-1113:0.8285, L08-1222:0.8229, N06-1042:0.8209, C08-1085:0.8184
L08-1485 ==> D09-1117:0.9539, W14-4209:0.9507, W12-4406:0.9472, W08-0321:0.9385, W08-0313:0.9370, P13-2068:0.9363, W12-3143:0.9348, W13-3521:0.9314, W12-3145:0.9310, W12-3142:0.9303
W07-2005 ==> W06-2106:0.9166, W04-0803:0.9139, C04-1179:0.9025, W04-0832:0.8928, W05-0631:0.8891, L08-1599:0.8864, I05-2036:0.8864, W07-2021:0.8854, W05-0621:0.8840, W07-2040:0.8820
P12-1052 ==> P10-1055:0.9355, W03-0401:0.9134, J13-3010:0.9055, S10-1060:0.9025, D14-1107:0.9014, C08-1069:0.8970, S14-2064:0.8968, I08-2096:0.8945, W09-2605:0.8945, S10-1069:0.8936
D09-1107 ==> P14-2025:0.8908, N12-1004:0.8765, W12-3157:0.8722, P09-2012:0.8654, P08-2007:0.8643, P12-2060:0.8584, N13-1073:0.8582, D08-1033:0.8446, J14-1007:0.8429, W06-3105:0.8400
W12-1638 ==> W11-2014:0.9914, W09-3902:0.9881, N10-2009:0.9834, W11-0144:0.9809, N09-1043:0.9756, W12-1808:0.9756, W12-1806:0.9713, W13-4063:0.9703, W12-1814:0.9684, W10-4308:0.9678
D14-1130 ==> W14-4212:0.8644, P10-2016:0.8622, W12-6216:0.8620, W14-1805:0.8529, W11-2105:0.8483, D09-1114:0.8467, W10-0707:0.8464, W10-0728:0.8450, P13-2047:0.8373, C14-1193:0.8333
J13-3007 ==> W10-3305:0.9126, P07-2042:0.9077, W09-2508:0.8984, L08-1188:0.8849, P13-1038:0.8790, N12-1051:0.8769, P06-2075:0.8746, I05-7011:0.8633, C04-1135:0.8570, D14-1088:0.8564
C04-1063 ==> W99-0613:0.9411, W99-0211:0.9385, W99-0501:0.9331, W13-2706:0.9299, C00-2086:0.9296, C02-1018:0.9293, W09-3536:0.9280, W11-2002:0.9271, W10-4304:0.9266, P10-2024:0.9265
E03-2008 ==> W00-1213:0.9631, I05-3015:0.9612, P09-2042:0.9612, W99-0108:0.9604, A00-2037:0.9597, W09-3937:0.9596, W03-2108:0.9590, W08-2221:0.9577, W10-4351:0.9570, C02-1031:0.9569
S12-1095 ==> S12-1078:0.9378, S14-1006:0.9283, S12-1083:0.9213, S12-1061:0.8955, S13-1008:0.8860, S13-1031:0.8845, S12-1051:0.8735, S13-1016:0.8729, S12-1086:0.8540, P12-1091:0.8500
W09-2420 ==> C08-1003:0.9372, S10-1096:0.9292, E09-1006:0.9231, D08-1105:0.8732, S10-1088:0.8559, S10-1095:0.8520, P11-2097:0.8520, P07-1007:0.8493, S10-1091:0.8419, S10-1012:0.8403
C08-1072 ==> P08-2027:0.9930, P09-2070:0.9821, N04-1011:0.9808, W05-1519:0.9731, P06-1021:0.9730, N06-2019:0.9719, D09-1077:0.9682, W02-1007:0.9678, N09-1074:0.9642, C10-1154:0.9627
C14-1132 ==> C10-1094:0.8956, P10-2035:0.8947, D10-1069:0.8913, P10-1001:0.8840, P12-1081:0.8840, W10-1404:0.8815, P12-1069:0.8810, D07-1099:0.8780, P14-1043:0.8758, D13-1116:0.8755
W05-0309 ==> P08-2048:0.8949, P09-1084:0.8839, W04-2704:0.8763, C10-2156:0.8745, W05-0312:0.8713, L08-1530:0.8708, W05-0306:0.8675, D09-1047:0.8673, W07-1212:0.8587, W06-0609:0.8576
P12-2007 ==> P12-2058:0.9432, D11-1085:0.9394, P11-2072:0.9391, D13-1052:0.9349, N12-1062:0.9328, D14-1028:0.9303, P09-2035:0.9289, W13-0803:0.9267, P10-2002:0.9260, C10-1035:0.9258
P13-1024 ==> C14-1050:0.8532, S14-2010:0.8290, C14-1047:0.8019, S13-1022:0.7744, S13-2088:0.7434, W10-0205:0.7378, P11-1097:0.7188, S13-1036:0.7182, D14-1128:0.7121, W14-2506:0.7108
P14-2093 ==> W10-1713:0.9354, P13-1126:0.9340, C14-1192:0.9215, W11-2122:0.9192, W10-3805:0.9179, D14-1062:0.9138, P12-3008:0.9138, W12-3145:0.9118, W12-3147:0.9118, W13-2257:0.9108
W11-1102 ==> C14-1123:0.9290, W14-0815:0.9269, C14-1154:0.9243, W11-2214:0.8971, W10-4165:0.8909, E14-1027:0.8879, P14-5012:0.8867, S13-2039:0.8855, S13-2113:0.8798, W10-4171:0.8790
P14-3010 ==> W04-2010:0.8895, N13-1134:0.8886, C10-1137:0.8848, I05-2018:0.8842, N09-2018:0.8702, W09-0209:0.8699, W09-2409:0.8687, W09-0205:0.8638, J12-4008:0.8600, W07-1527:0.8599
D12-1046 ==> P13-2110:0.9278, P12-1025:0.9267, P12-1110:0.9250, P12-1026:0.9203, P13-2105:0.9160, D12-1132:0.9155, E14-1018:0.9132, P14-2042:0.9127, J11-1005:0.9116, P14-2043:0.9103
C02-1090 ==> W04-2103:0.9160, W09-3110:0.9119, W09-3401:0.9075, C04-1164:0.9067, W09-3711:0.9014, C10-2131:0.8991, W08-1913:0.8939, L08-1553:0.8902, C02-1124:0.8868, N07-3001:0.8840
W03-1003 ==> W05-1508:0.9799, P06-2039:0.9591, W05-0808:0.9506, W03-0316:0.9399, W11-1502:0.9370, W05-0816:0.9194, I08-1009:0.9049, I08-3011:0.8935, W02-1819:0.8847, E12-2011:0.8811
P09-2037 ==> W08-0325:0.9451, C00-1013:0.8965, W10-1730:0.8923, W04-2201:0.8834, W07-1512:0.8257, W12-3132:0.8163, P08-1110:0.8065, W06-2934:0.8008, P07-1021:0.7982, P06-2066:0.7975
N07-3010 ==> E03-1020:0.9464, W04-2602:0.9408, W06-3812:0.9350, W10-4172:0.9294, W10-2308:0.9278, C04-1194:0.9250, C14-2012:0.9205, P11-2053:0.9198, E06-1018:0.9196, W12-0202:0.9158
P13-1174 ==> S10-1014:0.9304, W12-3713:0.9289, W14-2612:0.9281, S14-2129:0.9253, E09-1046:0.9247, N09-2010:0.9219, P08-2004:0.9205, W11-1704:0.9184, W11-1712:0.9161, P06-2059:0.9148
P07-1026 ==> C08-1105:0.8817, H05-2004:0.8786, P10-1090:0.8724, W05-0633:0.8679, E12-1070:0.8668, W14-2413:0.8629, W05-0639:0.8627, P06-2010:0.8570, I05-1068:0.8540, D10-1030:0.8535
C10-2078 ==> S12-1017:0.9328, D11-1077:0.8749, W14-0812:0.8614, D08-1104:0.8582, P11-1017:0.8464, W07-1106:0.8388, W14-2304:0.8349, S13-2018:0.8333, D11-1073:0.8242, N10-1039:0.8242
S12-1004 ==> L08-1275:0.8805, D09-1124:0.8785, L08-1323:0.8667, D14-1031:0.8637, C08-1126:0.8594, I08-2105:0.8578, W10-1610:0.8550, S13-1026:0.8496, D12-1130:0.8473, C14-1069:0.8470
W06-3325 ==> D09-1016:0.8751, P13-2116:0.8672, P11-1114:0.8572, P06-2074:0.8558, D14-1208:0.8553, P05-1061:0.8430, W06-1634:0.8417, E12-1029:0.8392, D09-1149:0.8385, D14-1165:0.8383
W10-0704 ==> D11-1082:0.9307, C08-2014:0.9221, N07-2022:0.9211, P10-2005:0.9207, I08-6006:0.9204, C10-2147:0.9140, P07-1001:0.9102, P09-2058:0.9099, W10-2917:0.9078, P08-4006:0.9075
N07-2031 ==> E03-1052:0.8749, S14-2080:0.8698, D10-1096:0.8653, W09-2605:0.8616, W02-1203:0.8552, W07-2211:0.8550, L08-1449:0.8527, P09-1008:0.8508, W04-0311:0.8493, W10-2105:0.8452
N09-1050 ==> W13-1707:0.9846, W13-1737:0.9837, W14-1814:0.9829, N12-1011:0.9824, W08-0912:0.9816, W09-2101:0.9767, N06-1028:0.9633, W11-1404:0.9613, W14-1816:0.9207, W13-1709:0.8813
P06-2046 ==> W04-0405:0.9137, W11-1307:0.8629, D08-1104:0.8559, C00-2110:0.8431, P06-1022:0.8415, W07-1106:0.8401, W06-1201:0.8301, W09-0213:0.8294, D07-1063:0.8280, D14-1145:0.8270
W13-1713 ==> P11-3022:0.8651, D10-1021:0.8577, P14-1118:0.8465, W10-0513:0.8426, E14-1012:0.8389, W08-0804:0.8372, W14-2702:0.8349, D13-1086:0.8329, S13-2062:0.8298, C14-1125:0.8238
W08-1005 ==> L08-1383:0.9314, W09-1008:0.9229, W05-1512:0.9183, W12-3411:0.9182, W14-2003:0.9108, W08-1006:0.9092, D13-1195:0.9062, W06-1638:0.8994, I05-6010:0.8975, P12-2021:0.8964
I05-1048 ==> I08-2130:0.9424, W04-1109:0.9423, I08-4009:0.9384, W06-0104:0.9365, I08-4015:0.9333, P06-2123:0.9317, W06-0117:0.9309, D08-1111:0.9294, W10-4136:0.9269, W06-0133:0.9261
C10-1019 ==> W11-1918:0.8336, W13-1907:0.8084, W09-1415:0.8001, J12-4005:0.7975, W05-0633:0.7972, P07-1027:0.7937, S12-1001:0.7889, P06-2010:0.7845, C14-1072:0.7809, N09-1017:0.7760
W04-1617 ==> P11-1084:0.9081, W00-0703:0.9066, W09-3808:0.9057, D11-1046:0.9035, W10-1835:0.9035, P99-1050:0.9020, W04-0709:0.9003, C10-1071:0.8994, W14-3004:0.8994, W12-0401:0.8972
W08-1702 ==> L08-1493:0.9951, W08-1506:0.9934, P05-3008:0.9924, W09-1503:0.9920, W07-1807:0.9916, P03-2024:0.9894, P03-2038:0.9876, W00-0311:0.9828, E03-1078:0.9827, W06-3707:0.9821
W09-3929 ==> W06-1308:0.9467, W08-1137:0.9466, W05-1623:0.9411, J09-3001:0.9333, W14-4411:0.9311, W09-0612:0.9292, W12-1502:0.9281, W14-1410:0.9275, W10-1618:0.9272, W10-1844:0.9272
W13-2207 ==> E06-2002:0.9729, W13-3521:0.9474, D13-1138:0.9465, D09-1117:0.9438, W14-4209:0.9384, W08-0313:0.9373, W12-4406:0.9351, W12-0111:0.9329, P13-1032:0.9291, W08-0321:0.9288
W14-4504 ==> E12-2008:0.8651, C14-1199:0.8643, P10-2053:0.8615, P13-2141:0.8586, W10-0915:0.8575, D12-1048:0.8543, P12-3014:0.8497, W14-4405:0.8461, P14-3011:0.8441, P12-1013:0.8429
D08-1051 ==> P10-2032:0.9721, E14-2012:0.9574, P11-4012:0.9444, W14-3340:0.9426, P12-1003:0.9389, C14-1171:0.9147, W14-0309:0.9144, W13-2247:0.9143, W12-3110:0.9139, P14-2094:0.9105
W06-1704 ==> L08-1075:0.9631, N07-1045:0.9599, L08-1126:0.9598, P06-1092:0.9405, L08-1380:0.9389, W07-1602:0.9380, W06-1707:0.9361, E06-1028:0.9354, W06-1700:0.9320, C04-1195:0.9290
C14-2006 ==> N06-2034:0.9902, W10-1817:0.9733, W04-2324:0.9721, J05-2005:0.9632, W05-1610:0.9593, W08-0614:0.9586, W10-3210:0.9549, W02-0204:0.9427, P14-3003:0.9418, L08-1050:0.9375
W02-1815 ==> I08-4032:0.9476, W04-1105:0.9449, W03-1709:0.9407, W06-0135:0.9401, L08-1355:0.9233, W04-1114:0.9098, W06-0134:0.8992, P11-2111:0.8832, I08-4009:0.8646, W03-1025:0.8641
I08-4001 ==> W12-0215:0.9266, W07-0407:0.8969, W10-1719:0.8880, J10-3002:0.8846, W14-5313:0.8840, D11-1082:0.8814, C08-2014:0.8795, C10-1040:0.8787, N13-1114:0.8786, P08-4006:0.8755
N09-2063 ==> W03-0403:0.9433, C02-1077:0.9359, W00-0709:0.9230, N04-1012:0.8684, C00-1085:0.8640, I05-6011:0.8583, P05-2024:0.8547, W14-2202:0.8474, P03-2033:0.8396, W02-2030:0.8384
W12-2205 ==> W11-1415:0.8695, W12-2207:0.8440, E09-2013:0.8380, L08-1230:0.8358, E06-2029:0.8301, H05-1074:0.8296, D14-1146:0.8253, N07-4002:0.8233, W08-0910:0.8225, C10-1062:0.8220
W11-1508 ==> W06-0804:0.8147, P08-1093:0.8123, W12-3202:0.8099, P14-2059:0.8089, W12-3213:0.8025, W06-1312:0.7953, N06-1050:0.7890, W12-3204:0.7878, L08-1291:0.7851, D07-1089:0.7789
P04-1012 ==> W06-3706:0.9566, J03-1001:0.9560, W01-1508:0.9518, P10-1082:0.9493, W01-1507:0.9483, I05-3009:0.9470, H05-2008:0.9434, W08-1912:0.9433, J02-2004:0.9421, W99-0707:0.9421
S14-2003 ==> W07-2045:0.8881, P06-1100:0.8783, H05-1112:0.8760, E09-1068:0.8728, N13-1088:0.8692, S10-1044:0.8647, W11-0129:0.8536, W10-1615:0.8516, J09-2003:0.8440, W07-2015:0.8334
W10-3016 ==> W08-0607:0.9520, P09-2044:0.9441, D09-1145:0.9386, W10-1910:0.9385, W10-3004:0.9251, W10-3023:0.9211, P07-1125:0.9205, N07-2036:0.9196, W13-2328:0.9110, W05-1301:0.9083
C14-1127 ==> C10-2173:0.9630, W10-2605:0.9299, P09-1028:0.9185, W12-3708:0.9180, W10-2918:0.9173, P10-1043:0.9118, W14-2620:0.9116, W12-2507:0.9116, S14-2104:0.9021, C14-1125:0.8964
E12-3009 ==> E09-1067:0.8684, E06-1025:0.8466, P08-2028:0.8382, W09-2011:0.8354, C10-2169:0.8277, I08-1038:0.8135, W02-0605:0.8109, E06-1026:0.8104, D14-1157:0.8074, W14-5803:0.8050
W04-0703 ==> W07-2106:0.9898, I05-1025:0.9895, W06-0205:0.9888, W04-1002:0.9862, D07-1059:0.9723, C04-1036:0.9286, N07-2052:0.8942, L08-1443:0.8904, W03-1011:0.8884, P09-2046:0.8864
H05-1045 ==> H05-2018:0.9347, W14-3704:0.8800, N12-1085:0.8513, S14-2048:0.8503, D12-1122:0.8453, N10-3009:0.8420, L08-1088:0.8383, D09-1159:0.8328, W06-1706:0.8326, W06-0301:0.8274
D13-1141 ==> C14-1048:0.7990, D13-1169:0.7886, P14-1011:0.7599, W12-2106:0.7303, P12-1092:0.7201, D08-1044:0.7148, E14-1049:0.7078, W13-1104:0.7028, P14-1066:0.6987, P08-2067:0.6953
D14-1082 ==> C10-1120:0.8115, P07-3009:0.8084, S10-1068:0.7880, S14-2107:0.7866, E14-2001:0.7813, P12-2003:0.7787, S12-1074:0.7787, W12-3407:0.7775, D12-1029:0.7774, P09-1040:0.7751
W09-0420 ==> W11-2143:0.9253, E14-1061:0.9208, W10-4011:0.9139, E12-2006:0.9120, W12-3150:0.9097, E12-1068:0.9095, W10-1726:0.9067, W11-2147:0.9064, W11-2158:0.9052, W13-2201:0.9046
D12-1001 ==> W12-1915:0.8822, C10-1007:0.8665, P12-1082:0.8460, P13-1044:0.8445, W12-0701:0.8430, P08-1061:0.8386, D11-1118:0.8367, D09-1086:0.8332, C14-1075:0.8244, P14-1043:0.8232
W08-0608 ==> P07-2012:0.8304, C10-2160:0.8172, C14-1081:0.8156, N07-2041:0.8147, P13-3011:0.8139, W09-1314:0.8099, P09-3003:0.7993, N07-2025:0.7988, I08-1044:0.7975, N04-2002:0.7955
N10-1051 ==> D14-1190:0.8693, S14-2136:0.8543, D12-1060:0.8444, C14-3005:0.8331, W11-1510:0.8313, D08-1072:0.8298, P14-2068:0.8296, P08-2065:0.8278, P12-2073:0.8259, P14-2139:0.8248
N10-1025 ==> D09-1116:0.9111, D09-1087:0.9006, D11-1064:0.8931, P11-2109:0.8780, D10-1002:0.8748, N10-1003:0.8616, N09-2054:0.8611, W12-2707:0.8474, P13-2110:0.8443, P13-1043:0.8363
N10-1130 ==> P11-1083:0.9682, E12-1082:0.9626, P10-1109:0.9511, P06-2036:0.9411, P09-2036:0.9382, W10-2503:0.9366, W08-0403:0.9280, W07-0412:0.9201, J09-4009:0.9169, W09-3801:0.9143
P06-1088 ==> S14-2064:0.9274, W14-2406:0.9126, W08-2222:0.9074, C10-1053:0.8975, D08-1050:0.8943, C10-2051:0.8942, W09-0107:0.8718, I08-2096:0.8672, W07-1202:0.8669, I05-1018:0.8666
N13-3003 ==> W12-3114:0.9418, P10-1064:0.9385, P13-4014:0.9210, W12-3110:0.9167, W13-2247:0.9103, N07-1005:0.9072, D10-1013:0.9053, W08-0324:0.9046, W13-2255:0.9043, W13-2231:0.9042
I08-5006 ==> W09-0702:0.8829, W14-3905:0.8743, L08-1299:0.8736, W12-2909:0.8732, L08-1497:0.8727, W02-1403:0.8726, E99-1023:0.8713, W14-3903:0.8696, W12-3123:0.8687, W02-0710:0.8682
P02-1051 ==> W02-0505:0.9570, P04-1024:0.9391, I05-1003:0.9304, W03-1503:0.9249, W06-2401:0.9241, W06-1902:0.9201, I08-1037:0.9188, P06-2011:0.9158, W03-1501:0.9099, W03-0317:0.9097
W12-3127 ==> W14-0311:0.9244, W10-1702:0.9222, W11-2143:0.9198, W10-1715:0.9168, P09-1065:0.9164, W11-2147:0.9115, N09-2001:0.9113, P11-2076:0.9108, W08-2119:0.9069, W11-1015:0.9057
W08-1008 ==> E09-1047:0.9030, W14-4205:0.9029, W08-1007:0.9017, J13-1005:0.8985, J13-1003:0.8873, D07-1124:0.8726, W13-4907:0.8606, W10-1401:0.8604, W13-4902:0.8603, L08-1356:0.8497
A00-1004 ==> W00-0507:0.9764, L08-1577:0.9537, W04-1406:0.9506, P07-2002:0.9476, A00-1019:0.9318, P00-1006:0.9245, W00-0707:0.9182, W03-0413:0.9109, H05-1025:0.9104, W02-1020:0.9045
N13-1079 ==> S10-1087:0.9783, P14-1025:0.9576, W06-2007:0.9538, W07-2068:0.9513, W10-2801:0.9509, W06-2503:0.9498, P06-1012:0.9494, H05-1114:0.9375, P13-2096:0.9349, W08-2211:0.9334
D10-1056 ==> P13-3017:0.9164, W12-0706:0.9047, D12-1086:0.9030, D11-1059:0.8835, P11-1087:0.8796, N12-1045:0.8785, P10-1132:0.8758, D07-1031:0.8717, P14-2044:0.8662, D10-1078:0.8604
W07-2038 ==> W07-1518:0.9110, W14-2413:0.9106, W05-1001:0.9061, H05-2004:0.9027, W05-0631:0.9005, I08-2132:0.8954, P10-2031:0.8940, D09-1133:0.8916, I05-1070:0.8886, W05-0634:0.8880
W04-1212 ==> W13-3006:0.9251, E99-1007:0.9244, P99-1019:0.9237, N13-1064:0.9172, A00-2043:0.9144, W00-0714:0.9144, W13-4018:0.9133, W08-1805:0.9132, W12-0411:0.9119, W13-3002:0.9113
S14-2111 ==> W11-2155:0.7799, P14-1118:0.7670, S13-2088:0.7669, W04-2402:0.7556, D14-1032:0.7524, S13-2070:0.7506, W06-2911:0.7464, J14-1004:0.7454, N13-1100:0.7434, S13-2065:0.7391
C08-1016 ==> W04-0706:0.9615, W06-1311:0.9593, W04-0707:0.9540, P03-2012:0.9539, W08-2215:0.9502, W03-1023:0.9375, W06-2906:0.9334, P04-1019:0.9321, E09-3006:0.9223, P05-1031:0.9178
N09-1032 ==> W13-3501:0.8999, P08-2059:0.8939, P08-1029:0.8803, P09-1001:0.8723, W10-0104:0.8722, N06-1010:0.8697, W14-2602:0.8682, D09-1158:0.8665, W13-3506:0.8634, D08-1072:0.8592
N06-2023 ==> W09-3910:0.9625, W09-3934:0.9157, N07-2054:0.9041, W09-3917:0.8956, W05-0905:0.8936, D08-1081:0.8923, N06-1047:0.8877, N10-1001:0.8867, P08-2033:0.8810, J02-4003:0.8748
D12-1100 ==> P10-2043:0.9523, N09-1058:0.9450, D11-1023:0.9211, P11-2004:0.9111, P14-2112:0.8997, D13-1192:0.8665, N12-1056:0.8575, W10-1503:0.8529, N12-1083:0.8494, W10-2808:0.8463
W06-0301 ==> W11-1702:0.8853, W14-3704:0.8820, L08-1088:0.8800, W07-2072:0.8741, S14-2099:0.8677, N12-1085:0.8675, W10-3309:0.8667, L08-1160:0.8549, P03-2030:0.8513, S14-2148:0.8453
W09-2410 ==> S10-1089:0.9167, P13-2053:0.8935, S13-2040:0.8892, D12-1128:0.8852, J10-1004:0.8844, C08-1009:0.8777, C10-1013:0.8752, S10-1028:0.8744, H05-1069:0.8727, W09-2412:0.8708
P10-4009 ==> N09-2019:0.9444, W10-1729:0.9397, W08-2118:0.9282, N07-2007:0.9206, N06-2051:0.9185, W14-3911:0.9160, P07-2046:0.9116, P12-1018:0.9082, P14-2125:0.9075, N04-3005:0.9054
W14-1505 ==> E14-1046:0.8631, W13-3510:0.8601, S14-2013:0.8575, D12-1112:0.8501, P13-2010:0.8475, D09-1045:0.8463, W14-5418:0.8460, W11-1301:0.8455, C10-1049:0.8453, W13-3211:0.8435
E12-3002 ==> L08-1359:0.8074, W06-3406:0.8028, S14-2015:0.7965, P07-3007:0.7865, C10-2169:0.7859, P14-1004:0.7850, P07-2034:0.7846, D14-1211:0.7843, P10-2047:0.7812, C10-2057:0.7802
H01-1065 ==> W02-0402:0.9796, W08-2229:0.9587, H01-1054:0.9442, W03-1205:0.9393, W00-0405:0.9292, W02-0404:0.9288, W00-1426:0.9002, P04-1049:0.8870, I05-2004:0.8848, W03-0510:0.8755
W10-0713 ==> L08-1390:0.9402, W14-2506:0.8821, P14-2062:0.8798, W14-3901:0.8769, W10-0714:0.8495, W14-4715:0.8474, W10-0706:0.8430, D14-1105:0.8263, P13-5004:0.8251, W10-0718:0.8244
W14-4602 ==> W08-1205:0.9683, L08-1322:0.9652, W14-1704:0.9564, W11-1412:0.9531, W13-3609:0.9530, W13-3613:0.9490, W09-3010:0.9489, C14-3004:0.9437, W09-1007:0.9426, P00-1067:0.9412
D11-1013 ==> W06-3301:0.8778, P11-1036:0.8703, P10-1139:0.8663, N03-1037:0.8648, C14-1079:0.8552, S13-2064:0.8547, W04-3256:0.8512, P09-2045:0.8508, P11-4006:0.8423, E06-1039:0.8377
P11-1045 ==> W12-2107:0.9426, P11-2119:0.9255, P14-2129:0.9165, J12-4002:0.8842, N09-1073:0.8782, C08-1094:0.8701, P11-1158:0.8684, C14-1052:0.8616, P07-1120:0.8547, W10-4150:0.8547
W10-3908 ==> P07-1018:0.9503, P06-2095:0.9404, P13-2047:0.9122, W10-1743:0.8992, W08-0328:0.8852, W09-0621:0.8834, W14-1805:0.8801, S14-2085:0.8768, W10-4005:0.8740, W12-3124:0.8739
W04-0607 ==> W02-1706:0.9914, W03-1313:0.9892, W03-0802:0.9596, W03-0812:0.9424, P13-4008:0.9210, W06-2714:0.9091, W00-0708:0.9028, W03-0112:0.8966, C02-1071:0.8925, P06-1008:0.8854
