C02-1122 ==> H01-1043, W02-1608, C00-1063, W97-0123, C04-1174
P10-2039 ==> E09-1042, P09-1057, P14-2132, D10-1078, D07-1031
W09-1213 ==> W09-1201, W09-1202, W09-1206, W14-1208, C10-3009
J79-1060 ==> P87-1004, J79-1026, C82-1044, C82-1057, C88-2115
P05-2015 ==> H05-1076, I05-2008, I08-2118, I05-1022, W00-0603
C14-1112 ==> N09-2057, P07-1041, N10-1127, W08-0401, L08-1569
D14-1203 ==> P13-1146, E14-2023, P13-2117, P14-1079, D12-1042
C92-4193 ==> E91-1046, C92-2087, C90-3039, W98-0510, C92-4170
W99-0902 ==> C00-1006, W03-1108, I05-1003, I05-1060, P01-1004
W02-0604 ==> N03-2015, W02-0602, W06-3208, W09-1010, P10-1039
N09-1018 ==> D08-1008, C10-2083, W08-2125, W08-2134, W09-1206
W08-2111 ==> W09-1112, W04-2420, W04-2412, N09-2065, W04-2419
P85-1023 ==> P86-1013, E83-1020, P84-1114, C86-1081, C88-1077
P98-2251 ==> P00-1035, P99-1023, A00-2013, P97-1029, P98-1029
P84-1096 ==> E85-1025, J87-3002, E87-1011, P87-1027, W98-1013
W06-0707 ==> P12-2070, W09-2806, P09-2027, W09-1607, W04-1003
D12-1099 ==> E12-2014, P11-1040, N13-1104, D11-1141, N13-1065
W06-3208 ==> P03-1036, E06-2023, W09-1010, C04-1152, I08-1003
P86-1034 ==> P87-1022, A88-1003, P85-1027, P86-1031, E89-1016
S13-2035 ==> S13-2039, S12-1027, S13-2036, J13-3008, C14-1154
E03-1065 ==> W08-0503, P07-2037, J08-2008, I08-2090, L08-1588
P85-1026 ==> P91-1050, T87-1035, C86-1085, E87-1030, C88-2122
P98-2195 ==> A00-1015, W97-1512, C90-3004, C96-1049, E87-1046
D14-1131 ==> P14-2022, D10-1027, P09-4007, C14-1108, D13-1026
W02-1403 ==> L08-1043, W03-1802, W04-1805, P99-1050, C04-1087
C96-1075 ==> P97-1068, W97-0303, P98-2185, W97-0404, W02-0712
C02-2024 ==> N03-3005, P04-1029, P03-1026, W05-1521, C00-2155
N12-1093 ==> P12-1039, C10-2062, W13-2124, W14-4417, W14-5002
D13-1086 ==> D08-1072, N13-1080, D12-1119, D13-1016, P10-2056
W07-2056 ==> C02-1168, W04-0834, D09-1048, C08-1143, P10-3003
W07-1216 ==> P06-1120, E09-2012, P06-4016, W11-0819, W14-4813
P12-1090 ==> C10-1119, I08-2107, H05-1111, P07-3016, E03-1040
W12-2208 ==> W13-1506, N12-1063, D12-1043, W14-1819, W12-2207
C90-1016 ==> C94-1005, P86-1040, P98-1023, P93-1027, C96-1023
W08-2106 ==> P14-2096, W06-1644, C10-2063, J09-1006, W98-0204
C10-2084 ==> D12-1041, P10-1033, N10-1014, N07-2053, D10-1052
W08-1913 ==> E03-1018, W10-3403, W10-1823, W09-3420, C69-5801
W14-0614 ==> L08-1270, J08-2008, E06-2003, W14-5207, L08-1588
W09-3934 ==> P10-1009, W09-3910, N07-4009, D10-1084, A00-2025
D09-1022 ==> W13-2224, W07-0413, D08-1010, D08-1039, P14-1137
P01-1050 ==> W02-1018, N03-1017, P01-1030, P03-1041, P01-1067
W14-3703 ==> W11-0507, E14-1075, P13-1136, W13-3106, C10-2105
N12-1088 ==> D11-1007, D13-1139, P09-1065, P11-2074, C10-2096
C94-2148 ==> P92-1011, C94-1077, C90-2060, W97-1509, C92-4178
E06-2016 ==> P05-1050, W07-2047, W04-0838, N09-1004, W06-2608
C14-1105 ==> W09-0432, P13-2122, C14-1182, D14-1062, P14-2093
W10-1710 ==> W10-1719, P08-2020, W13-2264, W11-2138, W08-0318
W04-1006 ==> P11-3008, I08-1063, W03-0505, L08-1167, P08-4007
C04-1035 ==> P07-3006, A00-1007, W14-4325, W10-1842, X98-1027
X98-1012 ==> X98-1016, X98-1015, W03-0509, W98-1120, N03-4013
P00-1016 ==> P99-1009, W01-0710, P98-1034, C04-1046, P98-1010
J11-4005 ==> W06-0906, P06-1050, P12-2044, W06-0904, D10-1089
P85-1040 ==> P84-1092, P84-1101, E09-1016, C92-1063, C88-2085
D13-1010 ==> N09-1057, D07-1069, W10-0723, W14-2701, W11-1701
C04-1033 ==> W11-1823, P08-1096, P03-1023, W12-4512, W06-3316
W09-1217 ==> W09-1202, C10-3009, W08-2130, W09-1213, W09-1216
P06-2006 ==> P06-4020, W05-1517, L08-1149, W08-1307, W12-0911
W03-1119 ==> P99-1047, W10-4234, C10-1001, A00-2002, W04-1002
W04-1612 ==> W02-0504, W05-0711, D07-1116, N07-2014, P09-2056
W10-0408 ==> W08-0911, C10-2031, W09-2112, D07-1012, W09-2108
W96-0304 ==> W03-0202, A97-1026, W14-5817, W13-1008, W06-2406
E06-1023 ==> W00-1012, J95-4001, P05-3001, P10-3001, N10-2005
L08-1039 ==> W09-1508, P10-1022, W07-1212, W06-0609, P10-5001
S13-2022 ==> S13-2005, S12-1104, S13-2006, S12-1107, S13-2099
P13-1012 ==> D13-1027, D13-1203, P13-3012, D14-1225, D08-1031
W97-0812 ==> C00-2115, W08-2202, I05-1032, P06-2110, W07-2088
W13-5007 ==> W11-0319, W12-2402, D10-1035, N10-1087, C14-1215
P98-2202 ==> P03-1034, W02-1704, W98-1414, W98-0304, W04-1705
W04-2113 ==> C96-2206, C02-1140, C02-2015, W97-0505, C00-1050
N03-3006 ==> W02-1706, W04-0607, W03-1313, W03-0802, W03-0812
H90-1017 ==> H90-1036, H90-1035, H92-1066, H92-1079, H93-1023
W14-4722 ==> L08-1340, W09-0302, W08-1123, W08-2116, W12-1004
W97-0713 ==> W97-0703, W00-0408, P95-1046, P99-1072, P97-1013
W03-0609 ==> E03-1042, C04-1049, W03-0608, W09-3927, N01-1017
A97-1051 ==> H93-1029, X96-1053, C96-1047, W03-0108, W00-1304
C08-1031 ==> D09-1019, C10-1020, P11-2099, P12-2013, P11-2104
P13-1103 ==> W13-4913, W13-1201, W07-1522, P10-2030, C10-2158
P97-1072 ==> W97-1301, W99-0213, N04-4020, W09-3944, J98-2001
N10-1088 ==> W11-1413, D12-1129, W07-2075, P13-4018, P10-1138
W04-0210 ==> J04-3003, P00-1051, W11-0419, W04-2327, N10-1043
W11-1514 ==> W11-1709, N12-1071, E12-1031, W14-0901, P11-2064
I05-1031 ==> N04-4008, C02-1162, W07-2088, W08-2202, E14-4008
P98-1014 ==> E03-1041, C96-2208, C08-1080, L08-1443, H91-1067
P06-2050 ==> I05-3008, I05-7002, C00-1026, W04-1106, W00-1203
W99-0904 ==> W98-1240, W98-0609, J01-2001, A00-1036, A00-1030
W09-3910 ==> A00-2025, P10-1009, W09-3934, N06-2023, N07-2054
P92-1001 ==> C92-2108, C92-1045, E93-1031, P97-1013, P94-1003
J11-2008 ==> W07-1802, W12-0804, W14-1401, P07-1023, W14-1404
P85-1024 ==> P86-1033, P87-1005, P86-1036, P82-1010, H89-1013
W10-1610 ==> C08-1126, J06-1003, L08-1275, D14-1031, S14-1004
L08-1291 ==> L08-1005, W12-3213, W10-1114, D07-1089, W10-0402
W10-1752 ==> P10-2015, W09-0403, W08-0312, P10-2016, W08-0309
W04-0803 ==> J02-3001, W05-0621, W06-2106, W07-2005, W03-0901
P09-2056 ==> D07-1116, P10-2063, W09-0804, N07-2014, W10-1402
T75-1002 ==> J79-1035d, P79-1020, J79-1070, T78-1032, C90-2031
P04-1062 ==> P05-1044, N03-1006, P10-2039, P06-1072, P07-1094
C02-1032 ==> P01-1027, C04-1045, L08-1286, E03-1007, J03-3003
P84-1111 ==> C80-1003, C86-1114, N07-2005, W09-2818, W10-2003
H92-1030 ==> H92-1024, P93-1035, H92-1027, P92-1017, H94-1020
W00-1212 ==> J91-4001, C94-2153, W98-0512, W93-0312, P00-1033
C00-1027 ==> P99-1022, H05-1104, P03-1037, W00-1315, W01-0508
C08-1024 ==> W12-4004, P07-2036, W10-1615, W14-5906, D12-1057
P08-1069 ==> J12-3008, J10-3006, P06-2036, N09-1061, W07-0402
P11-1001 ==> W11-2163, D11-1019, C08-1127, P12-2007, W13-0803
P84-1022 ==> C86-1113, E87-1013, C86-1031, C88-2165, C90-3047
W03-0108 ==> W03-0110, N09-2030, A97-1051, H93-1029, P13-4002
P14-1071 ==> P11-1121, W13-3602, C14-1183, D13-1074, W14-1813
C04-1199 ==> W06-2609, E09-3011, W07-1706, H05-1041, E12-1011
W93-0216 ==> P93-1020, J96-2004, H92-1089, P94-1002, C92-1052
W09-3501 ==> W09-3504, W09-3517, W09-3502, W09-3505, W09-3518
I08-1024 ==> P04-3005, W03-0602, W01-1410, D14-1136, W08-2108
P13-2137 ==> P13-2128, J12-1003, D07-1060, S14-2079, L08-1078
N09-2048 ==> W12-1617, W12-1612, P11-2020, A00-2027, W00-0310
C96-1039 ==> M98-1017, C94-1026, L08-1055, P98-1036, W02-2017
W12-3142 ==> P13-2121, W12-3136, E12-1055, W13-2219, W11-2154
P10-1010 ==> D07-1005, L08-1008, W14-2201, W14-2212, W14-2211
P86-1007 ==> P86-1014, J98-2003, E87-1045, J89-4003, J87-1006
W03-1121 ==> P05-2005, W06-0125, W06-1667, W03-1211, I08-5007
W12-2003 ==> P12-3017, W10-0201, E09-1065, W05-0202, W09-2509
P13-1030 ==> P12-2022, N09-1062, P13-2106, P11-2036, W13-3519
W09-0303 ==> W12-0216, P13-4003, C69-5701, W06-3201, J99-2005
W11-0815 ==> D07-1110, E14-1050, C10-2120, W07-1103, W05-1005
P12-2043 ==> W04-0109, W10-3601, W02-0604, W05-0704, W04-1302
N10-1013 ==> D10-1113, E09-1094, N12-1076, C14-1016, P12-1092
C14-1056 ==> P13-2115, P11-4014, Q13-1008, W06-3809, C10-1128
P88-1019 ==> C88-2103, W97-0400, P98-1055, C90-3048, C96-1008
P06-1108 ==> W06-1807, W06-3910, W04-3217, W07-1408, C08-1078
P10-1077 ==> P09-1076, W14-3706, P06-2090, L08-1048, W98-1216
P10-1143 ==> W14-2909, W14-2910, P09-1068, D12-1045, P10-1123
C10-1137 ==> A94-1007, H05-1105, W96-0112, P99-1081, P86-1013
S14-2034 ==> P11-2060, C10-1093, W09-1215, D14-1049, W08-2139
W11-1417 ==> J11-1006, N07-2011, W06-1611, P07-1046, W12-2001
T75-2034 ==> P88-1012, A88-1032, P86-1035, J79-1036a, J79-1036b
D07-1043 ==> W04-0817, D10-1024, W14-4016, N06-1029, W04-2413
J04-3004 ==> P06-1027, P02-1046, W99-0613, I08-1047, W02-1033
L08-1246 ==> P06-2018, L08-1151, W09-0806, P09-2014, W09-2605
W97-0116 ==> W02-0906, L08-1164, C04-1153, W02-1501, J99-2007
D09-1033 ==> N10-1039, W07-1106, D09-1049, D14-1145, D14-1216
W96-0212 ==> H91-1044, J98-2004, H94-1051, H91-1045, P99-1066
P09-1042 ==> P11-1061, D11-1005, D10-1120, D11-1006, P13-1105
P06-3007 ==> W03-2805, W05-0902, P11-1155, C08-1124, D14-1077
P08-1032 ==> N10-1125, W14-5410, W09-2802, J10-4006, C02-1137
L08-1599 ==> W09-3740, L08-1428, W07-1710, W04-2711, J08-2006
P07-2010 ==> W14-2301, W08-1307, N10-1147, L08-1149, W10-2107
W02-1611 ==> N03-2006, W01-1401, C00-1019, C00-2145, C92-2080
W10-1712 ==> W09-3816, N10-1052, W08-0311, C10-2162, W14-3004
C14-1172 ==> W11-1919, C04-1074, I05-1063, W11-1914, C04-1075
L08-1380 ==> W10-1501, W13-2507, E06-1028, I05-1067, E06-1020
P07-3014 ==> W07-2082, W09-2409, P07-1072, W07-1527, W11-0106
W04-1505 ==> W04-2003, W07-1506, W09-2605, D07-1065, N12-1070
C00-2092 ==> P03-2041, C96-2215, P06-1121, N06-1033, C04-1154
I05-6011 ==> W02-1210, P05-1041, W08-2204, W10-1826, C10-2123
L08-1418 ==> L08-1433, W07-1501, W14-4915, W14-5203, W06-3813
J11-4007 ==> N12-1082, J12-1006, W12-2203, H05-1031, C14-1189
C00-2166 ==> P98-1072, E99-1012, C96-1054, H92-1051, P97-1052
W03-0419 ==> W03-0427, W03-0431, W03-0429, W03-0432, W03-0434
W97-1303 ==> C94-2191, J01-4004, J94-4002, W98-1119, P02-1014
C14-1055 ==> C14-1060, P12-1007, W14-2104, C10-2118, W04-2322
P06-2065 ==> W11-1202, W99-0906, P13-1060, W11-1511, D08-1085
N12-1057 ==> P12-2032, P11-1078, P14-2056, D14-1211, D12-1014
C08-1126 ==> W10-1610, L08-1275, D14-1031, J06-1003, S14-1004
P11-2044 ==> C08-1018, D14-1076, D09-1041, D14-1195, W13-3508
W14-1613 ==> P14-2095, Q13-1001, D14-1187, Q14-1005, N13-1006
W06-3326 ==> W09-3610, W09-3611, C10-2049, H05-1014, P10-1009
P06-2116 ==> W07-0210, W06-2801, J03-2003, W05-1620, W05-1614
L08-1340 ==> W14-4722, W08-2116, W09-0302, W08-1123, C92-4207
P01-1033 ==> J99-2003, J11-2008, P07-1023, W14-1401, W07-1802
N03-1019 ==> N01-1018, W02-1021, J04-2004, W05-0834, D14-1063
P14-1147 ==> P14-2072, N13-1053, W13-1606, E14-1030, D14-1055
P06-2115 ==> W08-1904, C02-1094, W10-4123, H92-1086, A92-1004
W14-4011 ==> D10-1027, W13-0803, P12-3004, D14-1028, N09-1027
P13-1127 ==> P13-2082, P11-1060, W12-2801, W10-2903, P14-1026
C02-1047 ==> W03-1613, W04-0806, W09-3009, P09-5004, W07-2011
E12-1022 ==> W11-0507, P14-2055, C14-1113, W13-3105, P11-1050
P14-1001 ==> D13-1116, N10-1003, N09-2064, D09-1161, P12-2001
H01-1063 ==> W02-0226, W01-1629, H01-1012, N01-1028, H01-1013
W98-1106 ==> W97-1002, W97-0313, M92-1038, M92-1021, P92-1028
P11-1003 ==> P12-3022, P10-1034, D12-1078, P13-2063, W11-2166
H90-1008 ==> P92-1030, H93-1027, W04-0901, E95-1036, J88-2006
P84-1088 ==> J86-2002, W00-0107, W12-1635, A88-1001, E03-1021
W05-0606 ==> W07-1307, W10-2412, W07-1301, W06-1107, W07-1308
C88-2114 ==> W03-2121, W06-2708, C04-1019, J88-3012, A94-1020
C00-1072 ==> W07-2070, N10-2002, J97-1003, P02-1058, P06-2020
D08-1064 ==> D09-1030, D09-1006, W10-0728, W10-0714, W10-0707
W12-4004 ==> D12-1117, D14-1088, D10-1108, P09-1031, P11-1162
W12-3102 ==> W12-3114, W13-2255, W13-2247, P13-4014, P13-2025
P04-1009 ==> C02-1147, P98-1075, W12-1606, E06-1009, W04-3002
W03-0320 ==> W05-0810, W11-0802, L08-1076, P05-2003, W07-1511
P13-1148 ==> P08-1046, N09-1036, D13-1005, N10-1074, N13-1012
C10-2133 ==> W06-0704, N07-2043, P13-2146, N03-4010, P06-1114
P09-3010 ==> W10-4356, D10-1084, N09-2013, W10-4354, N07-4009
P91-1048 ==> P02-1033, C92-4201, H94-1047, W99-0512, P04-1037
H94-1044 ==> W09-2102, N13-1085, W11-1406, E95-1006, W10-4124
H01-1020 ==> N13-1084, W11-1507, L08-1560, W10-3307, W11-0147
W13-2126 ==> L08-1589, W10-0711, P09-1094, W10-0709, P08-1089
W14-1814 ==> W13-1707, W13-1737, W09-2101, N09-1050, N12-1011
P13-1087 ==> W08-2114, N13-1079, N09-2059, S10-1093, W08-2211
W07-1109 ==> W06-2404, W10-3712, P06-2042, I08-2094, C04-1159
W06-1009 ==> P07-1110, N10-1070, J05-4003, I08-6001, C08-1007
P94-1051 ==> C96-1006, P97-1038, W04-1121, P03-2040, P98-1042
C82-1028 ==> C90-3016, P82-1003, C86-1075, C80-1064, C80-1030
P98-2234 ==> W04-2608, W06-2113, W99-0614, W97-0310, W01-0707
A83-1020 ==> C94-2132, C92-2087, P96-1053, C94-1089, L08-1276
W04-3219 ==> C14-1190, C04-1051, I05-5002, I05-5001, D11-1108
P13-1079 ==> P14-1072, W13-2237, C14-1182, W13-2219, W10-1724
L08-1330 ==> J07-1002, J05-3001, L08-1009, W99-0314, W10-1842
W05-1507 ==> N03-1021, N06-1033, W06-1627, W07-0405, P09-2036
I05-4003 ==> C04-1001, W04-0910, E03-1048, A92-1039, P03-1057
P07-1011 ==> N07-2024, P14-2029, C10-2103, P06-1032, N10-1108
C96-2145 ==> L08-1325, J04-4003, P00-1032, E03-1031, C02-1158
P12-1079 ==> P13-2122, P12-2023, D12-1037, W14-3317, C08-1041
W10-1837 ==> W06-1705, W13-2020, W13-2023, L08-1253, W13-2026
P84-1056 ==> P90-1003, E87-1035, H89-1043, P91-1054, H89-2002
J06-1002 ==> P07-1061, W07-1707, W06-2914, P98-1100, P13-2034
C90-3069 ==> J94-3003, P06-2044, P93-1047, C90-3003, C88-1032
W04-3237 ==> P07-1033, W06-1615, W10-2608, P07-1034, D08-1072
H01-1070 ==> P00-1078, C00-2116, W02-1605, I08-2141, A94-1004
D09-1102 ==> C10-2125, W11-1914, P08-1096, W11-1917, C10-1017
J01-2005 ==> E91-1031, P96-1058, P95-1056, C02-1066, W08-1001
E06-2028 ==> W04-1210, E06-2012, W99-0208, W09-2421, W11-1823
W11-1712 ==> W06-0304, W13-2513, W14-2623, S13-2059, W10-4121
W03-1027 ==> W04-1220, P02-1064, W03-1315, I05-2046, W04-1213
W09-2601 ==> D07-1062, W13-1018, P09-1084, W07-2026, L08-1461
N10-1023 ==> P01-1039, W02-1041, N06-1001, I08-2116, W03-0504
C96-1070 ==> C88-2091, T75-2019, C96-2191, P84-1034, C96-2178
P10-4001 ==> W10-3219, W08-2203, P14-5009, C10-2123, W08-1706
P01-1051 ==> W99-0408, P98-2196, W03-1602, W97-0508, L08-1157
C14-2020 ==> W06-0611, L08-1116, E99-1050, I08-7012, L08-1190
W04-0313 ==> W14-2004, C92-1032, J82-3003, E85-1007, E85-1004
W02-1702 ==> W01-0811, C96-2101, W94-0321, W98-1401, W93-0222
H89-1045 ==> E91-1032, C86-1005, C94-1075, P85-1002, P82-1012
N07-1055 ==> P13-1010, N13-1101, E12-1032, P06-2103, W14-3701
W03-0510 ==> P04-3020, I05-2004, W05-0902, P13-2099, W04-3252
W14-0404 ==> C10-2022, D10-1009, P09-1096, C08-1056, N12-1089
W10-4322 ==> W10-4321, N13-2013, W10-4324, W09-3916, W13-4016
W12-2010 ==> D10-1105, W13-1721, N09-5005, W14-4507, I05-7005
D11-1018 ==> P13-1079, P12-2004, P11-1084, W12-2013, W07-0710
E03-1082 ==> E03-1015, C02-1088, N03-2025, W14-4104, I08-5007
W09-1115 ==> I05-1066, W99-0204, E09-2013, P02-1028, W14-3701
N13-1039 ==> S14-2074, S14-2065, S14-2023, N13-1037, D11-1141
N13-3007 ==> S14-2040, W11-2502, W07-2086, N10-1047, S12-1057
W06-3312 ==> W06-3305, W05-1306, W06-3314, W06-3316, W09-1418
W01-0717 ==> W11-1909, P13-2023, C14-1172, S10-1019, I05-1065
D07-1007 ==> I05-2021, S10-1026, S10-1023, S10-1024, P05-1048
I08-1067 ==> W13-2807, P12-1096, P09-1090, P10-1047, W13-3204
W07-1417 ==> L08-1335, H93-1086, N12-1021, P11-1076, W08-0902
W09-1411 ==> W04-1203, C02-1030, P99-1065, P01-1036, H01-1061
L08-1105 ==> W07-2048, W14-3009, L08-1596, W07-2038, W09-1211
W05-0627 ==> W05-0632, W04-2419, W08-2134, W05-0620, W05-0631
N12-1001 ==> P11-1118, W13-1914, W14-2408, P08-1090, D11-1027
P07-2002 ==> L08-1577, W04-1406, J03-3003, W02-1405, C04-1091
W13-4045 ==> P03-2022, C08-1129, C10-2063, J97-1005, J09-1006
D14-1164 ==> D14-1167, W14-1112, W14-6203, P12-1087, D14-1208
D10-1047 ==> P10-1127, P14-2097, W10-1714, P09-1099, W11-0326
P84-1018 ==> J82-3001, P84-1107, E83-1016, C82-1004, J85-1003
W14-2401 ==> P10-1129, W12-2802, W14-2404, W14-4313, W14-0207
C96-1027 ==> C94-1090, E03-1024, P93-1011, P03-1047, E99-1012
J96-3006 ==> P94-1006, E93-1031, P97-1012, E93-1030, W00-1433
D09-1010 ==> P06-1051, W06-3806, W07-2023, W07-1412, E09-1066
C14-1019 ==> S13-2076, S10-1097, S13-2089, S13-2052, S13-2094
W13-3204 ==> W13-2204, E14-1003, W11-2124, D14-1022, N13-1002
W12-2406 ==> W06-3304, W11-0224, W02-0312, W04-3110, P09-1102
W02-1608 ==> C00-1063, C02-1122, H01-1043, W97-0123, P98-2214
C96-2188 ==> C00-2142, N13-1085, W11-1406, I05-2041, I05-5003
W99-0502 ==> W02-0808, W11-0405, W07-2099, W98-0705, W04-0807
E95-1003 ==> E03-1083, W97-0115, C02-2003, W01-0907, E03-1022
W13-2224 ==> W14-3317, W12-3137, W14-3310, W12-3131, W13-2205
H01-1003 ==> N04-3010, H01-1018, W06-3709, W06-3704, W08-0802
P06-1029 ==> H05-1034, H05-1027, N09-2025, W02-1032, N04-4006
D08-1013 ==> C10-2152, D12-1014, W10-2918, C10-1074, P07-1055
M92-1008 ==> P10-1081, C86-1128, D08-1046, E83-1001, X93-1012
A00-2040 ==> W01-0518, P00-1029, W02-0608, P01-1053, P10-1091
N07-3006 ==> W06-2605, P09-2004, P13-1048, W04-0211, W04-2322
W09-0625 ==> W09-0616, W03-0603, W97-1413, W08-1137, W09-3929
W14-2404 ==> D10-1040, P10-1129, P14-3005, W12-2802, D12-1040
C02-1054 ==> P01-1041, P03-1005, P03-1004, P07-2017, N01-1025
W08-1111 ==> W10-1617, W01-0520, C02-1138, W05-1604, W09-0612
W00-0801 ==> J03-1002, P02-1033, J97-2004, W04-1609, J00-2004
W09-0403 ==> W10-1752, W11-2105, P10-2015, W08-0312, C14-1193
W04-0215 ==> W04-2322, W04-1009, W04-0211, W04-0201, C04-1048
C04-1055 ==> W05-1524, W05-1525, W08-2227, W05-1526, W07-1207
W10-3505 ==> W10-0209, P09-1029, P06-2079, N09-1056, C10-2153
W03-1302 ==> P04-1037, I05-3012, N03-4012, P06-1058, E06-2018
P14-1093 ==> C14-1135, D12-1057, W10-3904, C08-1001, D09-1122
H01-1028 ==> W01-1607, W05-1624, W06-2711, P02-1049, P98-1122
W99-0625 ==> W01-0515, L08-1107, W98-0610, P01-1008, I05-2026
L08-1278 ==> P97-1065, W04-1814, W03-2911, C94-2167, W01-0907
