C02-1122 ==> C04-1174:0.9666, H01-1043:0.9515, I08-2110:0.9413, W02-1608:0.9407, P09-2052:0.8824, I05-1005:0.8587, P06-2097:0.8408, N06-1023:0.8380, C04-1050:0.8120, P02-1028:0.7736
C10-2122 ==> W13-3103:0.9503, W13-3102:0.9491, W13-3101:0.9455, W09-2806:0.9416, P08-1094:0.9363, D09-1032:0.9343, W04-1012:0.9323, N10-3003:0.9319, W06-0702:0.9317, H05-1005:0.9314
W12-2009 ==> C10-2017:0.9371, W13-2325:0.9248, C14-1117:0.9202, J13-3001:0.9164, P13-4028:0.9155, P11-2096:0.9134, P09-2050:0.9096, P10-2015:0.9051, C14-1190:0.9031, E12-1073:0.9019
P14-1022 ==> N09-2062:0.8854, W06-3603:0.8604, D14-1101:0.8442, N13-1063:0.8391, E14-1051:0.8208, W14-2702:0.8181, W13-3507:0.8094, P06-1110:0.8063, W11-1402:0.8051, C14-1103:0.8025
D13-1031 ==> D14-1092:0.9157, W10-4127:0.9152, P14-2033:0.9101, P13-1075:0.9086, J09-4006:0.9039, W10-4137:0.8977, D14-1010:0.8972, W10-4135:0.8940, D13-1061:0.8926, P12-2075:0.8909
W14-2411 ==> S14-1014:0.9227, S14-2064:0.9029, S12-1040:0.8845, W14-2406:0.8762, P10-1035:0.8689, W13-2611:0.8688, W08-2222:0.8683, W07-1202:0.8666, I08-2096:0.8665, D14-1107:0.8590
W06-1208 ==> C10-2120:0.8910, W11-0822:0.8289, E03-1073:0.8253, W11-0815:0.8250, I05-2018:0.8173, D07-1110:0.8152, S10-1058:0.8127, N09-2018:0.8091, L08-1458:0.7960, W06-1664:0.7847
W05-1621 ==> N06-2017:0.9618, P04-1050:0.9220, J09-1003:0.9215, W06-1662:0.9196, W14-2704:0.9112, P04-1051:0.9064, I05-3016:0.9055, J02-3003:0.9007, P00-1052:0.8985, P13-1010:0.8920
W10-0402 ==> W12-3209:0.9402, W12-3212:0.9323, L08-1291:0.9299, L08-1005:0.9132, L08-1251:0.9010, W04-3113:0.8851, W12-3213:0.8784, W10-1114:0.8757, D07-1089:0.8635, P11-4002:0.8524
C00-2104 ==> A00-2006:0.9464, A00-2025:0.9376, W09-3937:0.9372, W02-0111:0.9363, W09-3016:0.9360, P05-2019:0.9352, I08-5009:0.9334, W04-2323:0.9320, W11-0210:0.9312, I05-3009:0.9308
D10-1058 ==> E14-4037:0.8653, W14-3325:0.8606, N09-2001:0.8554, D09-1136:0.8535, W14-0611:0.8522, P13-2058:0.8518, W14-3629:0.8502, N10-1050:0.8487, W14-5815:0.8473, W10-1719:0.8471
W02-0308 ==> W02-0307:0.9873, W06-0907:0.9873, W03-1314:0.9865, A00-1026:0.9832, C04-1087:0.8941, P06-1099:0.8758, C04-1141:0.8754, W09-2906:0.8744, W02-1407:0.8707, P11-1017:0.8656
D14-1023 ==> W13-2204:0.9176, D13-1082:0.9146, N13-1114:0.9041, E12-3008:0.8962, D10-1076:0.8955, D14-1179:0.8900, C14-1180:0.8898, N13-1035:0.8865, P10-1153:0.8865, W14-3307:0.8851
S12-1051 ==> S12-1083:0.8600, S12-1095:0.8550, S14-1009:0.8544, S12-1078:0.8477, P11-1020:0.8364, S12-1076:0.8285, W07-0718:0.8281, S12-1061:0.8242, S12-1059:0.8096, S13-1011:0.8017
P10-2008 ==> C08-1065:0.9964, P04-1026:0.9791, W13-1107:0.9784, C04-1139:0.9705, C08-1118:0.9590, W12-2508:0.9429, L08-1030:0.9410, P09-2081:0.9359, W06-1657:0.9357, W13-1735:0.9281
J09-3004 ==> W14-1114:0.9779, W10-3906:0.9653, P05-1004:0.9454, W07-2032:0.9227, S12-1011:0.8983, L08-1443:0.8980, W06-1406:0.8955, W07-0610:0.8893, P06-1046:0.8806, W06-2205:0.8779
W06-1420 ==> D07-1011:0.9938, W06-1410:0.9912, W01-0804:0.9907, W06-1411:0.9901, W00-1416:0.9900, W10-4221:0.9896, W09-0614:0.9896, L08-1090:0.9894, W05-1626:0.9890, C08-1055:0.9880
W00-1202 ==> W10-4323:0.9603, W09-1311:0.9597, C02-1018:0.9583, W13-4035:0.9575, C02-1123:0.9572, C08-2023:0.9560, P03-2023:0.9560, N12-3005:0.9559, C00-2086:0.9552, L08-1199:0.9552
W12-3409 ==> C10-1122:0.8452, L08-1600:0.8283, C14-1057:0.8187, J13-3010:0.8144, W12-0911:0.8142, W10-2107:0.8111, P12-1052:0.8095, L08-1073:0.8055, W07-2203:0.8021, W08-1305:0.8012
C00-2100 ==> C02-1118:0.9425, C02-1040:0.8469, C02-1121:0.8381, W09-3007:0.8305, N13-1024:0.8295, W06-1614:0.8275, P03-1015:0.8270, C04-1056:0.8269, E03-1087:0.8259, L08-1210:0.8138
P07-1105 ==> W12-2801:0.9023, J13-2005:0.8842, P14-3005:0.8710, Q13-1005:0.8706, W08-2002:0.8663, W14-0207:0.8542, P10-1083:0.8538, D14-1043:0.8506, D11-1039:0.8445, W12-2802:0.8356
W14-0302 ==> P11-2068:0.9814, P10-2032:0.9577, W12-3111:0.9501, P11-4012:0.9454, P06-2107:0.9452, J09-1002:0.9414, W14-0309:0.9409, P06-2061:0.9361, D08-1051:0.9330, W09-0416:0.9297
J02-3002 ==> A00-2035:0.9819, N09-2061:0.9386, J06-4003:0.9356, C02-2005:0.9068, N10-3006:0.8584, W01-0516:0.8419, P11-3008:0.8266, W03-0505:0.8255, P12-1067:0.8169, W06-3007:0.8132
W09-1504 ==> W05-0304:0.9139, W14-1006:0.8880, H05-1100:0.8711, S13-2010:0.8624, L08-1222:0.8593, W14-4205:0.8264, W10-4108:0.8255, W09-3811:0.8186, P09-4009:0.8172, W09-3839:0.8116
L08-1485 ==> W12-6217:0.9577, W14-3304:0.9456, W08-0317:0.9434, P13-1032:0.9354, W12-0108:0.9274, W10-1604:0.9270, P13-2057:0.9261, W12-0106:0.9258, E14-2013:0.9256, W13-2812:0.9250
W07-2005 ==> W07-1518:0.9170, W06-2106:0.9169, W05-0629:0.9146, W05-0639:0.8983, N09-3017:0.8980, W12-1519:0.8971, W05-0631:0.8948, N07-1069:0.8945, C04-1179:0.8872, W05-0638:0.8855
P12-1052 ==> P12-2021:0.9035, D11-1031:0.8950, P09-2014:0.8760, L08-1073:0.8734, C10-2168:0.8728, W07-2207:0.8725, S10-1060:0.8637, C10-1144:0.8631, D10-1068:0.8588, S10-1069:0.8561
D09-1107 ==> W13-2810:0.9441, W13-2237:0.9399, W13-0807:0.9333, W11-1015:0.9321, W14-3629:0.9295, E09-1061:0.9275, P13-1156:0.9258, D08-1066:0.9252, N09-2001:0.9237, W11-2143:0.9232
W12-1638 ==> W11-2014:0.9857, W13-4063:0.9836, N10-2009:0.9823, W09-3902:0.9792, W11-0144:0.9763, W12-1806:0.9753, W12-1641:0.9731, W12-1808:0.9731, N12-3007:0.9724, P12-3018:0.9691
D14-1130 ==> P10-2016:0.8143, W10-1727:0.8055, W07-0713:0.8028, D09-1117:0.8019, W12-3118:0.8014, W10-1758:0.8006, D13-1025:0.8004, W14-4001:0.8000, S13-1020:0.7998, P11-2027:0.7955
J13-3007 ==> P13-4018:0.9078, N12-1051:0.8878, P13-1052:0.8784, W07-2076:0.8710, W07-2015:0.8682, P09-1052:0.8677, C08-1021:0.8587, N13-1088:0.8582, P14-1044:0.8550, P05-2025:0.8485
C04-1063 ==> P10-2024:0.9293, W11-2609:0.9288, W06-3708:0.9284, I05-3015:0.9272, C00-1040:0.9267, W09-3506:0.9267, W13-3405:0.9262, I05-7012:0.9259, W05-0110:0.9257, W10-2410:0.9254
E03-2008 ==> L08-1377:0.9696, N07-2005:0.9670, W99-0609:0.9670, C00-1055:0.9666, W13-1206:0.9660, C04-1025:0.9656, N03-5005:0.9655, W13-3401:0.9652, W04-1803:0.9652, W10-4323:0.9646
S12-1095 ==> S12-1083:0.9372, S14-1009:0.9361, S12-1076:0.9009, S14-1006:0.8936, S12-1061:0.8902, S13-1011:0.8873, S12-1078:0.8868, P12-1091:0.8806, S12-1086:0.8786, P13-4028:0.8776
W09-2420 ==> S10-1096:0.9467, E09-1006:0.9052, C08-1003:0.9052, S10-1093:0.9012, S10-1088:0.8581, P11-2097:0.8529, W07-2074:0.8481, S10-1091:0.8444, S10-1095:0.8426, D08-1105:0.8196
C08-1072 ==> P08-2027:0.9926, W05-1519:0.9774, P06-1021:0.9756, D09-1077:0.9740, N09-1074:0.9677, W02-1007:0.9661, N04-1011:0.9653, P09-2070:0.9618, W02-1035:0.9509, P04-1005:0.9509
C14-1132 ==> C10-2015:0.9386, E12-1008:0.9381, W14-6103:0.9357, P11-2125:0.9354, P12-2001:0.9317, P14-1130:0.9278, E14-4006:0.9271, N12-1054:0.9250, P13-1104:0.9242, N13-1031:0.9223
W05-0309 ==> W05-0312:0.8818, W07-1212:0.8797, C10-2156:0.8772, W06-0612:0.8728, I08-7010:0.8682, W04-2711:0.8496, W04-2704:0.8433, L08-1530:0.8408, W11-0414:0.8406, P12-1008:0.8399
P12-2007 ==> C14-1195:0.9404, N10-1016:0.9383, N13-1003:0.9330, E14-1045:0.9324, D10-1027:0.9310, W11-1015:0.9304, D11-1083:0.9301, E09-1061:0.9281, C14-1108:0.9278, W14-3362:0.9274
P13-1024 ==> S14-2130:0.8100, S14-2089:0.8042, S12-1090:0.7511, N07-1026:0.7440, S14-2111:0.7393, D13-1178:0.7376, S13-2042:0.7343, S13-1032:0.7311, W11-1718:0.7270, C14-1083:0.7224
P14-2093 ==> C14-1182:0.9344, W13-2227:0.9308, W10-1713:0.9285, D14-1062:0.9259, W13-2803:0.9240, W12-3147:0.9233, W12-3154:0.9180, W13-2812:0.9150, W12-3149:0.9097, P14-2002:0.9095
W11-1102 ==> W14-0815:0.9365, C14-1123:0.9017, S13-2039:0.8931, S13-2051:0.8923, W11-2214:0.8914, S12-1027:0.8908, W11-1104:0.8860, W09-1705:0.8857, E12-1060:0.8851, W10-4171:0.8800
P14-3010 ==> S12-1089:0.9438, N12-1076:0.9345, W11-0607:0.9261, J12-1002:0.9189, S13-1001:0.9175, S14-2055:0.9174, C14-1068:0.9103, W10-2806:0.9086, S14-2024:0.9070, W13-2608:0.9054
D12-1046 ==> P14-2042:0.9121, P13-1013:0.8990, P11-1139:0.8976, P12-1025:0.8956, D10-1082:0.8955, P14-2129:0.8770, P13-2110:0.8713, W10-4141:0.8704, W06-0121:0.8702, P12-1110:0.8684
C02-1090 ==> W04-0801:0.9107, W04-2103:0.9053, W13-5011:0.9012, P11-1116:0.8979, L08-1388:0.8908, W03-1110:0.8891, C00-1047:0.8886, W04-0204:0.8872, C02-1062:0.8865, N07-3001:0.8848
W03-1003 ==> W03-0316:0.9869, W05-1508:0.9598, W05-0808:0.9557, P06-2039:0.9520, W05-0816:0.9153, W01-1015:0.9091, W03-0414:0.9034, W02-1607:0.8966, W02-1819:0.8920, I08-1068:0.8893
P09-2037 ==> W08-0325:0.9205, C00-1013:0.8480, W10-3815:0.8338, P14-2019:0.8323, W13-2220:0.8286, J13-2004:0.8234, W10-1730:0.8073, W07-1205:0.8071, W09-3808:0.8066, W12-3146:0.8059
N07-3010 ==> W10-2308:0.9325, W10-3607:0.9306, D08-1096:0.9300, E06-1018:0.9273, L08-1229:0.9271, C04-1194:0.9208, W10-4172:0.9195, W04-2602:0.9171, W09-1707:0.9147, W06-3812:0.9140
P13-1174 ==> W06-1642:0.9514, W14-2604:0.9409, D13-1091:0.9377, P10-1041:0.9376, W11-1716:0.9324, D09-1064:0.9300, S10-1099:0.9290, C10-1103:0.9286, P11-2104:0.9281, S14-2031:0.9270
P07-1026 ==> N07-1069:0.8748, W05-0634:0.8692, W05-0631:0.8688, N06-2025:0.8651, P07-2051:0.8639, I08-2109:0.8596, P06-2010:0.8586, W07-1518:0.8559, P06-2104:0.8548, W06-3308:0.8543
C10-2078 ==> S12-1017:0.9314, S13-2018:0.8217, D09-1033:0.8187, W11-0807:0.8137, W14-2304:0.8097, D08-1104:0.7909, D11-1077:0.7881, J14-2007:0.7853, P14-2121:0.7809, W14-0812:0.7785
S12-1004 ==> D09-1124:0.8617, I08-6005:0.8403, D14-1065:0.8359, N13-1011:0.8298, W09-1604:0.8185, P12-3026:0.8182, N07-1025:0.8171, Q13-1013:0.8085, W07-0911:0.8037, P10-1087:0.8014
W06-3325 ==> D14-1159:0.8004, P06-2002:0.7977, W10-4154:0.7944, D11-1134:0.7837, P10-2053:0.7690, P03-1043:0.7639, E12-1019:0.7632, W14-1605:0.7621, I05-1034:0.7618, W12-0512:0.7616
W10-0704 ==> N06-1013:0.9308, J10-3002:0.9157, P10-2025:0.9138, P10-1033:0.9110, W12-0215:0.9076, C08-2014:0.9049, J07-3002:0.9019, D07-1006:0.9005, D11-1082:0.9002, C10-1040:0.8986
N07-2031 ==> W07-2211:0.8844, W07-1209:0.8533, W08-1705:0.8506, W09-2605:0.8463, W09-1410:0.8454, L08-1115:0.8449, L08-1151:0.8310, P08-1070:0.8291, C10-2051:0.8271, P13-1029:0.8270
N09-1050 ==> W08-0912:0.9873, W14-1814:0.9852, W13-1707:0.9838, N12-1011:0.9786, W13-1737:0.9771, W09-2101:0.9760, W11-1404:0.9664, N06-1028:0.9461, W12-2021:0.9396, W14-1816:0.9169
P06-2046 ==> W04-0405:0.8973, P06-1099:0.8752, D09-1049:0.8672, P06-1022:0.8640, H05-1106:0.8579, W07-1106:0.8494, D11-1073:0.8483, C00-2110:0.8470, L08-1076:0.8442, W10-3703:0.8349
W13-1713 ==> D10-1021:0.8610, W10-0513:0.8513, W07-2094:0.8231, W14-6004:0.8121, W12-1613:0.8032, C10-1104:0.8001, S13-2062:0.7973, D11-1120:0.7931, J11-2004:0.7881, W11-0818:0.7869
W08-1005 ==> D13-1195:0.9616, W14-2003:0.9407, W09-1008:0.9401, W08-1006:0.9236, L08-1383:0.9213, P14-1020:0.9187, W12-3408:0.9074, L08-1115:0.9062, W05-1512:0.9028, W10-4144:0.8997
I05-1048 ==> W06-0136:0.9578, I05-3024:0.9553, P06-2123:0.9481, P06-2056:0.9384, W10-4129:0.9373, W04-1109:0.9304, I08-4028:0.9287, I08-4012:0.9256, D10-1077:0.9249, I08-4024:0.9239
C10-1019 ==> W12-1519:0.7503, D09-1133:0.7469, P09-3007:0.7436, W05-0633:0.7350, P10-1113:0.7314, D10-1072:0.7267, W07-2008:0.7234, P08-1101:0.7216, P10-1160:0.7186, J08-2004:0.7142
W04-1617 ==> W11-2134:0.9199, W09-3805:0.9183, P10-1145:0.9182, W09-3539:0.9160, W09-3519:0.9129, W11-1204:0.9121, C02-2010:0.9085, P13-1068:0.9075, W08-0903:0.9051, C10-1114:0.9038
W08-1702 ==> L08-1493:0.9926, W08-1506:0.9917, W09-1503:0.9900, W07-1806:0.9899, W07-1807:0.9892, W06-3707:0.9878, P05-3008:0.9855, W08-0512:0.9832, E03-2010:0.9824, P03-2038:0.9817
W09-3929 ==> W12-1509:0.9416, W09-0612:0.9358, W08-0111:0.9345, W05-1623:0.9319, W10-1618:0.9286, W09-0625:0.9281, W06-1308:0.9267, W09-3916:0.9261, P10-1159:0.9255, W13-4042:0.9244
W13-2207 ==> W14-4806:0.9310, D14-1174:0.9285, W11-2138:0.9278, W13-3521:0.9223, S12-1015:0.9201, L08-1060:0.9181, W14-3617:0.9179, E12-2003:0.9109, W09-0434:0.9106, W14-5815:0.9098
W14-4504 ==> N13-1107:0.8647, D14-1203:0.8601, W13-3515:0.8566, D14-1205:0.8564, W10-3910:0.8551, P13-2141:0.8520, D11-1049:0.8486, W14-6203:0.8479, C14-1159:0.8468, D14-1089:0.8454
D08-1051 ==> D13-1025:0.9572, P10-2032:0.9571, W11-2147:0.9544, W14-3340:0.9509, P14-2094:0.9438, W08-0305:0.9426, E14-2012:0.9406, P06-2107:0.9355, W14-0302:0.9330, W11-2149:0.9328
W06-1704 ==> L08-1126:0.9488, W07-1602:0.9485, L08-1075:0.9484, I05-1067:0.9452, N07-1045:0.9434, N06-2041:0.9431, L08-1380:0.9383, P06-1092:0.9375, W06-1707:0.9326, E06-1028:0.9314
C14-2006 ==> W10-3210:0.9818, W08-0614:0.9777, W04-2324:0.9750, W05-1610:0.9700, N03-2011:0.9569, W06-2709:0.9568, J05-2005:0.9554, C14-2013:0.9553, W12-3310:0.9548, W10-1817:0.9530
W02-1815 ==> L08-1355:0.9652, W04-1105:0.9645, I08-4032:0.9634, W06-0135:0.9550, W03-1709:0.9403, W04-1114:0.8996, I08-4009:0.8936, W06-0123:0.8683, W06-0119:0.8555, I08-7003:0.8448
I08-4001 ==> C08-2014:0.9379, P10-1033:0.9150, P09-2060:0.9074, J07-3002:0.9028, W13-2814:0.8997, P11-2029:0.8951, W14-0611:0.8914, W10-0704:0.8901, P13-1061:0.8901, W07-1520:0.8878
N09-2063 ==> C02-1077:0.9401, W00-0709:0.9397, W03-0403:0.9023, J13-2006:0.8883, W07-2203:0.8535, N04-1012:0.8516, C04-1009:0.8444, C00-1085:0.8428, I05-6011:0.8347, W14-2202:0.8283
W12-2205 ==> W11-1415:0.8718, D09-1094:0.8457, E09-3003:0.8399, E09-1027:0.8306, W14-2705:0.8297, C10-1062:0.8284, P05-1065:0.8283, C14-1034:0.8282, W14-1821:0.8245, N07-4002:0.8182
W11-1508 ==> P14-2059:0.8535, E14-1053:0.8340, W06-0804:0.8185, N06-1050:0.8044, W06-1312:0.7856, D09-1155:0.7850, L08-1047:0.7844, W06-1417:0.7820, D13-1012:0.7818, N07-1040:0.7776
P04-1012 ==> N09-2050:0.9560, H05-1020:0.9537, N04-3003:0.9510, W04-1803:0.9502, W04-0914:0.9489, W99-0609:0.9486, I08-4020:0.9478, W12-2306:0.9471, W13-3525:0.9455, P09-2042:0.9455
S14-2003 ==> P12-3026:0.8511, E12-1059:0.8482, C14-1025:0.8180, W04-0804:0.8169, P14-1044:0.8133, W13-3210:0.8112, C10-1052:0.8008, W07-2076:0.7988, E09-1068:0.7928, W09-1701:0.7918
W10-3016 ==> W11-1408:0.9579, P09-2044:0.9434, W10-1910:0.9017, W12-0405:0.8812, W08-0607:0.8754, W10-3015:0.8739, C08-1006:0.8653, W05-1301:0.8610, D09-1145:0.8549, W10-3008:0.8540
C14-1127 ==> S14-2096:0.9410, P13-2093:0.9323, D08-1013:0.9310, N10-1042:0.9302, S14-2048:0.9273, W14-2620:0.9267, C10-2173:0.9246, W10-2918:0.9205, C10-2153:0.9201, W13-1616:0.9173
E12-3009 ==> N07-2048:0.9202, N10-1059:0.8919, P11-2104:0.8840, P09-2043:0.8814, S10-1099:0.8743, D09-1064:0.8725, E06-1026:0.8693, P14-1030:0.8676, P10-1042:0.8657, C04-1145:0.8610
W04-0703 ==> I05-1025:0.9930, W04-1002:0.9898, W07-2106:0.9888, W06-0205:0.9887, D07-1059:0.9764, C04-1036:0.9283, D09-1139:0.9183, L08-1443:0.8985, N07-2052:0.8780, I05-2026:0.8710
H05-1045 ==> H05-2018:0.9376, W14-3704:0.8659, E14-4007:0.8506, W10-1608:0.8471, C10-1074:0.8341, D09-1150:0.8297, C10-2090:0.8273, S14-2149:0.8173, L08-1088:0.8170, D13-1172:0.8151
D13-1141 ==> D14-1015:0.7942, E14-1049:0.7254, N13-1063:0.7054, W11-0318:0.7014, D14-1002:0.6959, N09-1014:0.6957, N13-1076:0.6953, P14-2134:0.6935, E14-1051:0.6932, P14-1128:0.6926
D14-1082 ==> P12-2001:0.8357, P13-1104:0.8305, W13-4906:0.8205, C14-1132:0.8141, D14-1109:0.8125, J14-2001:0.8123, D14-1099:0.8105, W13-4908:0.8095, D07-1099:0.8093, N13-1031:0.8083
W09-0420 ==> W12-0111:0.9292, W08-0327:0.9213, W14-3353:0.9178, D14-1026:0.9124, W14-4007:0.9104, W14-0314:0.9078, W08-0321:0.9069, W14-1201:0.9034, W11-1004:0.9026, N10-1078:0.9005
D12-1001 ==> D11-1110:0.8895, P11-2120:0.8844, W12-1903:0.8835, N12-1069:0.8770, D11-1005:0.8769, P13-1044:0.8752, D12-1125:0.8748, J12-2012:0.8710, P09-1041:0.8708, W13-3519:0.8694
W08-0608 ==> W07-1008:0.8772, P07-2012:0.8665, N04-2002:0.8613, S13-2109:0.8393, C14-1150:0.8376, D12-1126:0.8359, W09-1325:0.8253, W11-0217:0.8178, I08-1044:0.8005, W09-1314:0.8005
N10-1051 ==> E14-4014:0.8190, N09-1032:0.8174, C14-1040:0.7525, W10-0712:0.7472, C08-1059:0.7360, P13-4030:0.7342, P08-1056:0.7257, D13-1007:0.7225, P05-3015:0.7189, W06-2203:0.7178
N10-1025 ==> D09-1116:0.9293, P11-2109:0.9137, D11-1064:0.8938, D10-1080:0.8739, W12-2707:0.8640, D09-1087:0.8398, P08-1014:0.8244, N10-1005:0.8221, D07-1117:0.8210, E09-1030:0.8189
N10-1130 ==> E12-1082:0.9775, W12-0803:0.9350, N12-1027:0.9326, P09-2036:0.9301, W09-3801:0.9241, P10-1109:0.9229, D09-1038:0.9171, W12-0801:0.9137, P11-1083:0.9120, D08-1018:0.9110
P06-1088 ==> S14-1014:0.8790, W07-1202:0.8705, S14-2064:0.8692, W08-2222:0.8552, W14-2406:0.8445, I08-2096:0.8442, W07-2206:0.8409, D14-1107:0.8338, S12-1040:0.8323, I05-1018:0.8321
N13-3003 ==> W13-2305:0.9223, W13-2201:0.9195, W13-2247:0.9184, W11-2142:0.9177, C14-1039:0.9174, W13-2255:0.9166, W13-2234:0.9149, W08-0305:0.9111, W11-2158:0.9108, W12-0111:0.9091
I08-5006 ==> P11-1084:0.9242, W06-3706:0.9213, W11-0801:0.9204, L08-1040:0.9195, W07-1903:0.9171, P09-4008:0.9168, W09-3507:0.9167, W02-1501:0.9162, P13-2044:0.9155, W07-1710:0.9150
P02-1051 ==> W02-0505:0.9577, P04-1024:0.9241, I08-1037:0.9205, W03-1503:0.9199, W03-1501:0.9199, I05-1003:0.9173, W06-1902:0.9171, W06-2401:0.9062, W03-0317:0.9020, P04-3003:0.8989
W12-3127 ==> P12-2007:0.9248, W14-4018:0.9232, W13-0803:0.9191, C14-1210:0.9161, N09-1027:0.9126, W11-1011:0.9109, P10-1108:0.9102, D09-1108:0.9096, P11-1123:0.9080, P09-2088:0.9068
W08-1008 ==> W14-4205:0.9158, L08-1337:0.8980, W13-4907:0.8970, W14-4814:0.8959, W10-1401:0.8880, C10-2013:0.8876, P13-1051:0.8843, D07-1125:0.8774, W13-4902:0.8739, W13-1906:0.8736
A00-1004 ==> W00-0507:0.9708, L08-1577:0.9633, W04-1406:0.9537, P07-2002:0.9532, A00-1019:0.9377, W00-0707:0.9266, P00-1006:0.9259, H05-1025:0.9099, W03-0413:0.9092, W02-1020:0.9071
N13-1079 ==> W08-2211:0.9711, P06-1012:0.9632, W07-2068:0.9565, S10-1094:0.9482, W08-0611:0.9456, P13-2096:0.9451, S10-1087:0.9450, P13-1087:0.9420, W06-2503:0.9402, W07-2059:0.9400
D10-1056 ==> P10-1132:0.8951, D09-1071:0.8864, D12-1086:0.8859, N12-1045:0.8846, D10-1020:0.8830, W10-2909:0.8822, P10-2040:0.8750, P14-1101:0.8695, D08-1036:0.8692, P14-2132:0.8650
W07-2038 ==> H05-2004:0.9373, W06-1622:0.9326, N07-1069:0.9306, W07-1518:0.9288, P06-2010:0.9261, I08-5010:0.9254, W06-1518:0.9236, W07-1513:0.9197, I05-1070:0.9191, W05-0634:0.9183
W04-1212 ==> P12-2030:0.9272, W13-4018:0.9165, W10-3606:0.9068, W13-2606:0.9067, C02-1111:0.9055, W02-0709:0.9053, W09-3401:0.9044, W08-1805:0.9043, L08-1377:0.9038, W13-2715:0.9034
S14-2111 ==> S13-2073:0.9047, W13-1613:0.8869, P14-2009:0.8540, W13-1612:0.8461, E14-1010:0.8410, S14-2053:0.8320, W14-2614:0.8317, P10-4013:0.8309, S13-1042:0.8259, S10-1014:0.8173
C08-1016 ==> W04-0706:0.9552, W06-2906:0.9546, I05-1065:0.9417, P03-2012:0.9411, J05-3004:0.9368, W06-1311:0.9352, W11-1922:0.9291, W03-1023:0.9248, P07-1103:0.9229, W08-2215:0.9225
N09-1032 ==> P08-1029:0.8904, I08-7002:0.8727, D09-1158:0.8603, I08-1045:0.8503, N06-1010:0.8481, D08-1003:0.8416, N13-1042:0.8381, W06-2919:0.8362, D10-1098:0.8354, W04-2603:0.8350
N06-2023 ==> W09-3934:0.9532, N07-2054:0.9329, W09-3910:0.9248, N10-1001:0.9241, P10-1009:0.9106, W05-0905:0.9092, W08-0112:0.9022, W09-3917:0.9018, W12-1605:0.8985, C04-1079:0.8983
D12-1100 ==> W10-2808:0.8632, P11-2004:0.8439, N09-1058:0.8399, P10-2043:0.8277, D12-1098:0.8067, W10-1503:0.7984, C14-1099:0.7741, W14-1619:0.7715, D11-1023:0.7401, W07-0730:0.7398
W06-0301 ==> L08-1160:0.9221, L08-1088:0.9066, W10-3309:0.9034, W11-1702:0.8972, W14-3704:0.8959, W11-1704:0.8958, S14-2099:0.8892, N03-2022:0.8783, E14-4007:0.8752, S14-2104:0.8728
W09-2410 ==> W11-1506:0.9170, P10-3003:0.9146, W13-5003:0.9110, S10-1084:0.9105, S13-2043:0.9053, P08-2063:0.9048, W07-2057:0.8841, W10-2304:0.8836, S10-1013:0.8802, N10-1088:0.8801
P10-4009 ==> N09-2019:0.9331, N06-2051:0.9311, W08-0708:0.9275, W10-1729:0.9228, N07-2007:0.9086, W12-0505:0.9069, E14-2006:0.9042, W07-0704:0.9002, D10-1015:0.8942, N04-3005:0.8914
W14-1505 ==> S14-2093:0.8406, D14-1079:0.8353, S13-1035:0.8190, W12-1008:0.8121, S14-2055:0.8114, P10-1021:0.8099, S13-1001:0.8069, W14-1406:0.8047, W13-3209:0.8043, C10-2041:0.8000
E12-3002 ==> D14-1105:0.8571, P13-2045:0.8241, P12-1057:0.7991, P12-1065:0.7955, P13-2089:0.7857, S13-2062:0.7785, S13-2070:0.7766, W10-4109:0.7680, W14-6004:0.7577, W13-1602:0.7541
H01-1065 ==> W02-0402:0.9641, H01-1054:0.9553, W08-2229:0.9422, W00-0405:0.9378, W02-0404:0.8953, W00-1426:0.8918, I05-2004:0.8737, W03-0510:0.8734, W10-3306:0.8730, W03-1205:0.8676
W10-0713 ==> L08-1390:0.9276, P14-1104:0.8512, N10-1024:0.8396, W14-5511:0.8259, E14-4014:0.8238, W14-2807:0.8210, D11-1145:0.8138, W10-0708:0.8098, W10-0714:0.8077, W10-0706:0.8058
W14-4602 ==> C14-3004:0.9706, W13-3601:0.9301, W14-1708:0.9259, W14-3615:0.9256, W09-3010:0.9218, W14-3616:0.9218, W14-1710:0.9196, P11-1092:0.9185, W14-1706:0.9152, W12-2031:0.9144
D11-1013 ==> W11-1707:0.8680, W12-3810:0.8595, P13-3016:0.8577, W12-3716:0.8501, P12-4006:0.8486, C08-1052:0.8486, W13-1615:0.8485, W14-2607:0.8405, S13-2067:0.8404, P11-1164:0.8400
P11-1045 ==> P11-2119:0.9448, W12-2107:0.9439, P07-1120:0.8697, N09-1073:0.8684, W10-4150:0.8549, C14-1052:0.8440, D08-1091:0.8420, D10-1002:0.8403, N10-1003:0.8392, P14-2129:0.8363
W10-3908 ==> W12-0114:0.9573, P12-3016:0.9206, I08-2104:0.9128, C08-1007:0.9065, W11-1217:0.9038, W02-1037:0.8908, N04-1034:0.8850, L08-1371:0.8849, W10-4005:0.8840, I05-1023:0.8799
W04-0607 ==> W03-1313:0.9871, W02-1706:0.9827, W03-0802:0.9631, P06-1008:0.9367, W03-0112:0.9294, W03-0812:0.9291, W00-0708:0.9248, W06-2304:0.9196, C02-1071:0.9174, W09-1410:0.9151
