C02-1122 ==> H01-1043:0.9572, C04-1174:0.9396, W02-1608:0.8742, I08-2110:0.8342, N06-1023:0.7811, P06-2076:0.7622, P09-2052:0.7531, I05-1005:0.7437, P06-2097:0.7207, C02-1051:0.7091
C10-2122 ==> W13-3101:0.9519, W13-3103:0.9450, W09-2806:0.9436, W03-2805:0.9322, W06-1401:0.9091, D09-1032:0.9019, W13-3102:0.8926, P12-2070:0.8908, C10-2106:0.8862, E09-1084:0.8846
W12-2009 ==> P11-2096:0.8801, W11-2504:0.8785, E12-1073:0.8614, N13-2009:0.8610, C14-1190:0.8509, P08-1116:0.8257, W10-3304:0.8238, W12-0110:0.8205, W11-2405:0.8138, W09-2503:0.8128
P14-1022 ==> E14-1051:0.7908, D12-1105:0.7867, P13-1045:0.7839, P13-2087:0.7836, C14-2010:0.7760, D12-1019:0.7652, N13-1015:0.7613, D08-1091:0.7587, P14-1099:0.7577, P11-1015:0.7501
D13-1031 ==> D11-1090:0.8941, D13-1061:0.8860, P13-2032:0.8498, P13-2031:0.8302, D14-1010:0.8230, D13-1119:0.8159, P12-1025:0.8132, P12-1026:0.8131, P14-1069:0.8124, W10-4101:0.8094
W14-2411 ==> D11-1140:0.8670, D13-1161:0.8547, D10-1119:0.8483, W12-2802:0.8368, W14-0507:0.8361, N13-1103:0.8243, W14-2416:0.8191, W14-2006:0.8189, W12-2801:0.8185, D12-1040:0.8077
W06-1208 ==> W11-0822:0.9041, C10-2120:0.8957, D07-1110:0.8365, W11-0815:0.8089, W03-1803:0.7906, I05-2018:0.7716, E03-1073:0.7399, W04-2010:0.7390, N09-2018:0.7363, C02-1065:0.7302
W05-1621 ==> N06-2017:0.9099, J09-1003:0.8672, W14-3706:0.8614, W06-1662:0.8590, P14-2099:0.8209, W14-3701:0.8154, I05-3016:0.8137, P06-1049:0.8107, I05-1055:0.8082, C04-1108:0.7942
W10-0402 ==> W12-3213:0.9404, W12-3209:0.9283, L08-1291:0.9209, L08-1005:0.9175, W10-1114:0.9112, L08-1251:0.8956, W12-3204:0.8878, W04-3113:0.8872, P14-2059:0.8559, P11-4002:0.8401
C00-2104 ==> W11-2703:0.8391, W05-0107:0.8009, W02-0106:0.8000, H05-2013:0.7999, I08-5009:0.7938, W08-1136:0.7906, E06-2003:0.7885, W09-3922:0.7862, J12-3004:0.7862, W06-0805:0.7861
D10-1058 ==> P12-2060:0.8528, P13-2002:0.8337, P14-1072:0.8237, E14-4024:0.8047, W10-3813:0.8003, L08-1110:0.7860, W14-0313:0.7815, P11-2032:0.7800, C10-1084:0.7748, P13-1003:0.7732
W02-0308 ==> A00-1026:0.9925, W03-1314:0.9911, W06-0907:0.9858, W02-0307:0.9842, P06-1099:0.8655, W03-1811:0.8578, C04-1141:0.8489, W04-0410:0.8480, H05-1106:0.8358, C04-1087:0.8233
D14-1023 ==> D10-1076:0.8754, W12-2702:0.8622, D13-1082:0.8611, D13-1140:0.8585, W09-0417:0.8397, W10-1731:0.8374, C14-1041:0.8302, D14-1003:0.8214, W14-3330:0.8143, D11-1103:0.8109
S12-1051 ==> S12-1078:0.9417, S12-1095:0.9409, S14-1009:0.9347, S12-1061:0.9275, S12-1083:0.9011, S12-1059:0.8725, P11-1020:0.8682, S13-1004:0.8649, S13-1025:0.8596, S13-1012:0.8557
P10-2008 ==> C08-1065:0.9933, P04-1026:0.9435, W13-1107:0.9409, L08-1030:0.9321, C04-1139:0.9265, W13-1735:0.9192, W06-1657:0.9188, P09-2081:0.9156, C08-1118:0.9063, W12-2508:0.8984
J09-3004 ==> W14-1114:0.9578, W10-3906:0.9491, P05-1004:0.8598, L08-1443:0.8540, W06-1654:0.8072, C14-1067:0.7927, N07-1024:0.7832, W07-2032:0.7798, J05-4002:0.7780, P06-1046:0.7758
W06-1420 ==> D07-1011:0.9560, W10-4221:0.9369, C08-1055:0.9348, L08-1090:0.9310, W00-1416:0.9297, W06-1411:0.9236, C08-2029:0.9233, W01-0804:0.9230, J02-1003:0.9223, W06-1409:0.9203
W00-1202 ==> W09-2819:0.8278, W10-1835:0.8275, W13-1206:0.8242, C02-2015:0.8231, W09-2818:0.8214, C00-2091:0.8203, N12-3005:0.8089, W06-3711:0.8065, W07-0309:0.8053, C02-1140:0.8032
W12-3409 ==> J13-3010:0.7748, C14-1057:0.7370, P08-1070:0.7278, S10-1060:0.7215, D09-1126:0.7079, W14-5708:0.7051, W14-5205:0.7034, W06-2607:0.7014, P10-1055:0.7014, L08-1346:0.7005
C00-2100 ==> C02-1118:0.9110, C02-1121:0.7733, C02-1040:0.7705, W05-1529:0.7430, W09-0306:0.7290, I05-1019:0.7166, C04-1123:0.7139, I05-6010:0.7084, W02-0905:0.7083, L08-1210:0.6991
P07-1105 ==> C10-2102:0.9205, W08-2002:0.8574, W12-2801:0.8553, W14-0207:0.8245, W12-2802:0.8068, P10-1083:0.7959, D12-1040:0.7936, J13-2005:0.7913, N13-1103:0.7808, D11-1140:0.7785
W14-0302 ==> P11-2068:0.9816, W14-0309:0.9437, J09-1002:0.9009, P06-2107:0.8985, P06-2061:0.8788, E14-2012:0.8576, P11-4012:0.8375, W14-3338:0.8272, W12-3111:0.8233, P10-2032:0.8151
J02-3002 ==> A00-2035:0.9924, J06-4003:0.9523, C02-2005:0.9389, N09-2061:0.9345, W01-0516:0.8783, N10-3006:0.8321, P12-1067:0.8276, A00-1040:0.7491, P05-3007:0.7323, W03-0505:0.7315
W09-1504 ==> W05-0304:0.8271, W14-1006:0.7885, C10-3003:0.7526, C14-2008:0.7498, W09-3417:0.7415, W09-1219:0.7380, L08-1429:0.7307, P09-4009:0.7306, P11-2106:0.7274, C08-1085:0.7264
L08-1485 ==> W12-6217:0.8154, N07-4004:0.8066, P13-1032:0.8055, D09-1105:0.7983, C04-1168:0.7872, N07-2015:0.7766, N09-2001:0.7762, P13-1016:0.7723, P07-2054:0.7688, P12-2005:0.7668
W07-2005 ==> W06-2106:0.8864, W07-2040:0.8294, W07-2044:0.8195, N09-3017:0.8122, P14-1120:0.8006, J09-2002:0.7869, S10-1066:0.7864, I05-1068:0.7581, P08-2036:0.7548, D09-1047:0.7547
P12-1052 ==> C10-1122:0.8698, D11-1031:0.8367, N12-1030:0.7992, C10-2051:0.7907, P14-1021:0.7877, S10-1060:0.7864, S10-1069:0.7796, P12-2021:0.7779, D09-1126:0.7778, C10-1144:0.7761
D09-1107 ==> W12-3158:0.8537, W10-2915:0.8230, C10-2021:0.8187, D13-1026:0.8155, P11-2029:0.8151, D09-1136:0.8046, W13-2238:0.7995, P10-1049:0.7954, P13-1079:0.7935, P10-1147:0.7930
W12-1638 ==> W13-4063:0.9602, W11-2014:0.9583, N09-1043:0.9528, W10-4308:0.9512, W12-1808:0.9483, N13-1129:0.9464, P12-3018:0.9463, W11-0144:0.9409, W09-3937:0.9408, W12-1806:0.9373
D14-1130 ==> W13-2231:0.7252, P10-1064:0.7189, W12-3122:0.7141, W10-0734:0.7019, P12-2024:0.6879, N10-1031:0.6830, W13-2243:0.6769, C14-2028:0.6718, P14-1067:0.6711, N10-1080:0.6669
J13-3007 ==> P13-1052:0.8589, D13-1018:0.8570, P13-4018:0.8398, P13-2095:0.8160, D12-1129:0.7450, N10-1088:0.7149, W12-4004:0.7145, D10-1108:0.7089, N13-1088:0.6995, D12-1117:0.6956
C04-1063 ==> C02-1018:0.8569, L08-1148:0.8536, L08-1417:0.8346, H05-1014:0.8141, N09-2029:0.8034, L08-1299:0.8034, W00-0901:0.8018, C02-1137:0.7927, A00-1040:0.7711, W00-0408:0.7611
E03-2008 ==> W12-2306:0.8201, C10-2174:0.7927, P11-2011:0.7866, W02-0112:0.7833, W11-2037:0.7808, W02-0106:0.7723, P04-1012:0.7706, W12-4002:0.7681, W05-0108:0.7654, L08-1420:0.7628
S12-1095 ==> S12-1078:0.9531, S12-1051:0.9409, S14-1009:0.9385, S12-1083:0.9380, S12-1061:0.9079, S14-1006:0.8756, P13-4028:0.8754, W10-0709:0.8566, S13-1025:0.8521, S12-1080:0.8415
W09-2420 ==> S10-1096:0.9400, C08-1003:0.9389, E09-1006:0.9156, S10-1095:0.9002, S10-1093:0.8769, P10-1155:0.8697, S10-1012:0.8555, S10-1092:0.8498, S10-1094:0.8497, D08-1105:0.8452
C08-1072 ==> P08-2027:0.9865, N06-2019:0.9735, P06-1021:0.9704, W05-1519:0.9540, N09-1074:0.9524, D09-1077:0.9521, P09-2070:0.9452, C10-1154:0.9266, W02-1035:0.9157, N09-1039:0.9116
C14-1132 ==> P12-2001:0.8415, P14-1043:0.8396, D10-1069:0.8366, W13-4916:0.8306, E12-1007:0.8299, D14-1103:0.8194, J13-1003:0.8125, W12-3412:0.8107, J11-1007:0.8071, J14-2001:0.8058
W05-0309 ==> W07-1212:0.8655, L08-1240:0.8632, W05-0312:0.8586, C10-2156:0.8469, I08-7010:0.8343, L08-1597:0.8312, W11-0414:0.8267, P12-1008:0.8249, P09-1084:0.8175, W05-0306:0.8099
P12-2007 ==> W12-3128:0.8794, D10-1054:0.8552, P10-2002:0.8505, C10-2044:0.8441, P11-1001:0.8396, W10-1761:0.8391, N09-1027:0.8376, D13-1138:0.8332, C14-1210:0.8242, C14-1108:0.8231
P13-1024 ==> C14-1050:0.8678, C14-1047:0.7436, S14-2089:0.7255, C10-1114:0.7240, P13-1098:0.7212, S12-1086:0.6877, N13-1089:0.6666, P12-1091:0.6650, S13-1022:0.6570, S12-1101:0.6553
P14-2093 ==> W14-3363:0.8685, W13-2803:0.8403, C10-1075:0.8336, D14-1062:0.8272, W12-3154:0.8262, D11-1033:0.8217, P13-2119:0.8211, N13-1114:0.8207, C14-1105:0.8195, I08-2088:0.8097
W11-1102 ==> W14-0815:0.8973, S13-2039:0.8661, C14-1123:0.8618, C14-1154:0.8526, E12-1060:0.8520, E14-1027:0.8378, W11-2214:0.8183, S13-2051:0.8097, S13-2113:0.8094, W10-4171:0.8027
P14-3010 ==> S12-1089:0.8980, W12-1008:0.8728, W11-1301:0.8602, W14-5418:0.8576, W11-0136:0.8437, N13-1134:0.8245, W10-2806:0.8230, W13-3206:0.8187, W11-1303:0.8171, N12-1076:0.8161
D12-1046 ==> P12-1110:0.8887, P13-2110:0.8786, D11-1109:0.8550, P13-1013:0.8482, W13-4904:0.8464, D13-1062:0.8438, P14-2042:0.8362, P14-1125:0.8346, D10-1082:0.8317, C14-1051:0.8258
C02-1090 ==> W04-2103:0.9243, C08-1058:0.8857, C02-1033:0.8020, C02-1125:0.7813, C00-1047:0.7779, P00-1039:0.7649, D07-1034:0.7620, W04-0204:0.7540, L08-1578:0.7508, J06-1002:0.7470
W03-1003 ==> P06-2039:0.9105, W05-1508:0.8888, W05-0808:0.8836, W03-0316:0.8625, I08-1009:0.8290, E12-2011:0.8170, W05-0816:0.8134, W05-0704:0.7988, W01-1015:0.7921, W02-1819:0.7903
P09-2037 ==> W08-0325:0.9086, C00-1013:0.8811, W04-2201:0.8700, W12-3132:0.8411, W13-2207:0.8138, N09-1038:0.7678, P08-1005:0.7666, W10-1730:0.7658, W11-2153:0.7612, N07-2016:0.7582
N07-3010 ==> W10-3607:0.9284, P14-5012:0.8082, W10-4170:0.8063, W14-0606:0.8041, W10-4172:0.7931, N07-1014:0.7823, W10-4165:0.7771, W10-4173:0.7722, W12-0202:0.7624, P04-1080:0.7563
P13-1174 ==> D14-1127:0.8550, P14-1145:0.8493, D13-1091:0.8378, W14-2625:0.8312, D11-1101:0.8139, D14-1125:0.8102, P14-2071:0.7974, W14-3010:0.7930, W10-3208:0.7928, P13-1097:0.7910
P07-1026 ==> P08-1040:0.8542, N06-2025:0.8461, P06-2010:0.8144, P10-1090:0.8140, I08-2109:0.7810, W06-2607:0.7569, W07-2062:0.7488, E09-1066:0.7448, E14-1023:0.7433, N09-3012:0.7416
C10-2078 ==> S12-1017:0.8814, S13-2018:0.8666, D11-1073:0.8417, P14-2121:0.8400, W07-1106:0.8151, W14-2304:0.8081, D14-1145:0.7936, D09-1033:0.7784, D09-1049:0.7755, D14-1216:0.7681
S12-1004 ==> P12-3026:0.8063, D09-1124:0.7938, W14-5809:0.7707, E12-1059:0.7447, P10-1087:0.7389, W14-1003:0.7316, P10-1023:0.7262, P14-1044:0.7220, D09-1109:0.7175, Q13-1013:0.7052
W06-3325 ==> H05-2004:0.7767, W07-1518:0.7611, P03-1043:0.7533, W06-1622:0.7360, I08-2109:0.7314, W06-1518:0.7285, W07-2038:0.7277, W14-4915:0.7236, I08-2132:0.7219, D08-1034:0.7205
W10-0704 ==> P11-1103:0.8016, N07-2022:0.7905, P13-4030:0.7781, C08-2014:0.7757, W07-1520:0.7710, P08-4006:0.7609, P14-1104:0.7546, D11-1082:0.7537, W10-1701:0.7537, J10-3002:0.7498
N07-2031 ==> W07-2211:0.8632, W04-2007:0.7771, S10-1069:0.7370, W08-1705:0.7353, W04-1505:0.7305, W09-2605:0.7259, W12-0707:0.7240, W07-1209:0.7198, N10-3001:0.7143, C14-1057:0.7088
N09-1050 ==> W13-1707:0.9844, W13-1737:0.9816, N12-1011:0.9784, W08-0912:0.9773, N06-1028:0.9772, W14-1814:0.9757, W09-2101:0.9691, W11-1404:0.9533, L08-1385:0.9521, W14-1816:0.8852
P06-2046 ==> W04-0405:0.9040, S12-1017:0.8751, D14-1145:0.8633, P11-1017:0.8406, W04-0410:0.8391, W03-1811:0.8388, P06-1099:0.8260, W07-1106:0.8259, W09-2901:0.8233, C00-2110:0.8126
W13-1713 ==> D11-1120:0.8459, D10-1021:0.7858, W14-2702:0.7668, W14-2602:0.7645, D13-1114:0.7636, P09-1078:0.7625, W12-2507:0.7484, N09-1056:0.7356, P10-1043:0.7312, P10-2061:0.7274
W08-1005 ==> P09-1008:0.8592, W09-1008:0.8547, D13-1195:0.8280, W12-1705:0.8149, L08-1383:0.8149, E14-4032:0.8140, W14-4205:0.8108, W12-3408:0.8096, W10-4148:0.7988, W08-1004:0.7942
I05-1048 ==> I08-4028:0.8531, W06-0136:0.8415, W10-4139:0.8398, W06-0118:0.8354, I05-3028:0.8334, I05-3029:0.8318, W03-1729:0.8299, W06-0104:0.8289, I08-4009:0.8285, I05-3024:0.8284
C10-1019 ==> P10-1113:0.7409, D11-1109:0.7379, D12-1046:0.7175, P11-1141:0.7122, P13-2110:0.7084, P12-1110:0.7068, W14-6102:0.6973, N10-1030:0.6944, C10-2076:0.6893, P13-4009:0.6841
W04-1617 ==> W09-3805:0.7693, P10-1145:0.7671, P11-1084:0.7472, N10-1052:0.7448, P09-1037:0.7373, C04-1012:0.7353, C08-1139:0.7341, W10-1712:0.7201, W09-2309:0.7144, C00-2092:0.7137
W08-1702 ==> P03-2024:0.9867, W08-0210:0.9859, W06-3707:0.9844, L08-1493:0.9841, W07-1807:0.9838, W08-1506:0.9798, P05-3008:0.9760, W07-1806:0.9694, E03-2010:0.9629, W09-1503:0.9436
W09-3929 ==> L08-1401:0.9694, W09-3704:0.9672, W10-1618:0.9545, W10-4210:0.9301, W08-1107:0.9219, P10-1159:0.9176, W10-4207:0.9131, W03-0603:0.9095, W08-1129:0.8989, W09-0612:0.8953
W13-2207 ==> P09-2037:0.8138, W09-0422:0.8080, W11-2152:0.7771, L08-1058:0.7763, W12-3132:0.7718, P13-3025:0.7693, W12-3151:0.7682, W12-3146:0.7643, W08-0325:0.7629, E12-2003:0.7557
W14-4504 ==> P12-3014:0.8990, W14-1610:0.8436, D12-1048:0.8071, E12-2008:0.8000, D11-1142:0.7908, N13-1107:0.7823, W13-3515:0.7816, D14-1038:0.7768, P11-1062:0.7708, W12-0702:0.7682
D08-1051 ==> P10-2032:0.9466, E14-2012:0.9167, W14-0309:0.8814, P14-2094:0.8659, W14-3340:0.8498, P11-4012:0.8424, W14-3321:0.8318, P04-3001:0.8312, P09-4005:0.8265, P11-2068:0.8199
W06-1704 ==> L08-1075:0.9581, P06-1092:0.9210, L08-1380:0.9198, W06-1707:0.9157, N07-1045:0.9143, I05-1067:0.9126, W06-1700:0.9015, C04-1195:0.8959, E06-1028:0.8928, W07-1602:0.8757
C14-2006 ==> W04-2324:0.9589, W14-2118:0.9574, W05-1610:0.9547, N06-2034:0.9541, W08-0614:0.9352, W10-3210:0.9229, W04-0201:0.9140, J05-2005:0.9119, W09-3029:0.8939, W10-1844:0.8898
W02-1815 ==> W03-1709:0.9030, I08-4032:0.8474, L08-1355:0.8378, W04-1114:0.8366, W04-1105:0.8345, W06-0135:0.8300, W06-0134:0.8216, C02-1055:0.8146, I08-4009:0.8023, I05-3030:0.7871
I08-4001 ==> W05-0833:0.8305, D14-1016:0.8123, C08-2014:0.8062, P09-2060:0.7877, C10-2095:0.7809, W07-1520:0.7704, N07-2022:0.7677, W07-0406:0.7666, C10-1056:0.7507, P13-2064:0.7483
N09-2063 ==> J13-2006:0.8362, C02-1077:0.8341, W00-0709:0.8323, I05-6011:0.8002, P05-2024:0.7958, W03-0403:0.7949, W14-2202:0.7888, P03-2033:0.7781, P14-5009:0.7449, W03-0201:0.7443
W12-2205 ==> W14-2705:0.7668, D09-1094:0.7551, C14-1205:0.7496, N13-1078:0.7094, W11-1415:0.7071, C10-2011:0.7038, N07-4002:0.6920, E09-3003:0.6818, C14-1034:0.6753, E06-2029:0.6729
W11-1508 ==> L08-1291:0.7982, W10-0402:0.7912, W12-3209:0.7736, W12-3213:0.7665, L08-1005:0.7576, W10-1114:0.7501, P14-2059:0.7441, L08-1251:0.7388, E14-1053:0.7329, W12-3204:0.7315
P04-1012 ==> W11-2037:0.9736, L08-1377:0.9099, W13-4064:0.8771, W05-0108:0.8762, W02-0106:0.8759, W03-0705:0.8748, P13-4011:0.8631, L08-1362:0.8619, W12-1602:0.8515, W09-2819:0.8490
S14-2003 ==> W11-1006:0.6399, S13-1005:0.6294, C14-1117:0.6280, S12-1061:0.6265, S12-1095:0.6240, P14-1044:0.6220, S13-1033:0.6182, P12-2015:0.6142, S12-1086:0.6141, W10-0711:0.6095
W10-3016 ==> P09-2044:0.9566, W08-0607:0.9444, D09-1145:0.9173, W10-1910:0.9171, W10-3023:0.9023, W10-3004:0.8990, P07-1125:0.8951, W10-3015:0.8944, W10-3010:0.8891, W11-1408:0.8799
C14-1127 ==> C10-2173:0.9130, W10-2918:0.8917, P09-2080:0.8646, P10-1043:0.8609, C10-2152:0.8566, P09-1079:0.8554, C10-1072:0.8550, P11-1013:0.8538, J11-3005:0.8534, S14-2104:0.8499
E12-3009 ==> W06-2716:0.8795, N07-2048:0.8598, L08-1424:0.8539, E09-1067:0.8264, W02-0605:0.8050, C08-1076:0.8020, P07-1014:0.7960, W09-0907:0.7666, P06-2017:0.7446, P07-2022:0.7436
W04-0703 ==> W07-2106:0.9968, W04-1002:0.9967, I05-1025:0.9965, D07-1059:0.9627, W06-0205:0.9296, L08-1443:0.8521, I05-2026:0.8411, W14-1114:0.7929, W06-1406:0.7909, C04-1036:0.7863
H05-1045 ==> H05-2018:0.9141, W14-3704:0.8518, L08-1088:0.8075, W06-1651:0.8029, N06-1026:0.8016, C04-1018:0.7853, W06-0302:0.7793, C10-2057:0.7737, W06-1706:0.7707, N12-3002:0.7608
D13-1141 ==> D14-1015:0.8510, P14-1006:0.8094, P14-2037:0.8058, C14-1048:0.7812, E14-1049:0.7693, P13-2087:0.7580, P12-1092:0.7573, P14-1066:0.7558, D14-1179:0.7348, C14-1016:0.7300
D14-1082 ==> D14-1081:0.7555, Q14-1017:0.7271, C14-1052:0.7198, P14-2126:0.7132, P13-1045:0.6990, P14-2133:0.6952, P13-2087:0.6752, P14-1022:0.6741, D14-1054:0.6694, E14-1003:0.6686
W09-0420 ==> E14-1061:0.8106, W11-2129:0.8093, E12-1068:0.8057, W08-0317:0.7936, P10-1047:0.7577, W13-2808:0.7472, E09-1043:0.7455, I08-2089:0.7415, W13-2221:0.7380, W13-0802:0.7337
D12-1001 ==> W12-0701:0.8584, W14-4202:0.8507, D11-1110:0.8461, W12-1903:0.8406, P13-1105:0.8378, D11-1005:0.8305, D11-1006:0.8234, N13-1126:0.8226, D10-1120:0.8091, N12-1069:0.8062
W08-0608 ==> P07-2012:0.8309, W09-1314:0.8168, W07-1008:0.8125, N04-2002:0.8094, S13-2109:0.7787, W06-3305:0.7688, W09-2208:0.7646, W08-0610:0.7584, W13-1909:0.7534, W07-1009:0.7474
N10-1051 ==> N09-1032:0.8263, W10-0712:0.8154, W10-0728:0.7721, P08-1029:0.7525, E14-2025:0.7368, D09-1158:0.7163, W14-4715:0.7148, W10-0706:0.7130, W10-0714:0.7119, W10-0713:0.7101
N10-1025 ==> D11-1064:0.9258, P11-2109:0.9178, D09-1116:0.8679, D09-1087:0.8532, P11-1072:0.8430, W12-2707:0.8289, D10-1080:0.8239, N10-1005:0.8061, D10-1002:0.7940, P12-1026:0.7679
N10-1130 ==> E12-1082:0.9150, P11-1083:0.9034, P09-2036:0.8981, W10-2503:0.8852, N12-1027:0.8795, J12-3008:0.8761, P10-1109:0.8548, P13-1080:0.8479, D09-1038:0.8379, N09-1026:0.8364
P06-1088 ==> W14-2406:0.7916, W07-2206:0.7644, S14-1014:0.7633, W07-1202:0.7614, C10-2051:0.7595, S14-2064:0.7523, W08-2222:0.7328, W04-3215:0.7323, W09-0107:0.7306, P07-2009:0.7305
N13-3003 ==> C10-2043:0.8898, P10-1064:0.8646, C14-1039:0.8209, W12-3119:0.7924, W14-0314:0.7802, W08-0330:0.7774, P12-1003:0.7688, E14-4018:0.7687, W14-0308:0.7683, N10-1031:0.7668
I08-5006 ==> W02-1201:0.9676, I08-5008:0.9620, I08-5009:0.9580, I08-5012:0.9485, W10-3213:0.8504, W10-3606:0.8359, W02-0106:0.8325, N10-1077:0.8297, C00-2161:0.8239, E12-1057:0.8232
P02-1051 ==> W02-0505:0.9579, P04-1024:0.8434, W03-1503:0.8383, W06-1902:0.8349, W03-0317:0.8341, I08-1037:0.8312, W03-1502:0.8234, P02-1052:0.8159, W03-1501:0.8132, P04-3003:0.8076
W12-3127 ==> P11-2073:0.8995, D09-1038:0.8805, W14-3362:0.8481, W11-2166:0.8445, W12-0802:0.8441, W12-3128:0.8430, Q13-1020:0.8424, P09-1063:0.8416, W11-1011:0.8396, P13-2063:0.8349
W08-1008 ==> W08-1007:0.8654, W14-4205:0.8451, W10-1401:0.8257, W14-4814:0.8210, S10-1001:0.8157, W11-0302:0.8155, C08-1081:0.8109, J13-1003:0.8104, W14-4911:0.8077, W07-2220:0.8044
A00-1004 ==> W00-0507:0.8980, W06-1008:0.8755, L08-1577:0.8687, P07-2002:0.8677, W04-1406:0.8675, A00-1019:0.8225, W02-1020:0.7599, W00-0707:0.7544, P00-1006:0.7527, H05-1025:0.7526
N13-1079 ==> S10-1087:0.8098, W08-0611:0.8096, W08-2211:0.8050, W06-2007:0.7987, W07-2068:0.7844, H05-1069:0.7785, S10-1083:0.7753, P13-1087:0.7747, P14-1025:0.7637, P06-1012:0.7587
D10-1056 ==> D12-1086:0.8983, P13-3017:0.8792, D11-1059:0.8754, D10-1083:0.8724, D09-1071:0.8705, P14-2132:0.8688, E09-1042:0.8557, C14-1217:0.8537, W12-0706:0.8521, N12-1045:0.8498
W07-2038 ==> W06-2611:0.8759, W06-1622:0.8716, W07-1518:0.8713, H05-2004:0.8658, W14-2413:0.8638, E12-1070:0.8598, W07-2017:0.8552, L08-1226:0.8550, W06-1518:0.8545, S10-1065:0.8491
W04-1212 ==> W06-3323:0.9320, W06-3303:0.9292, P06-2083:0.8920, P02-1021:0.8517, N07-3004:0.8280, N06-4009:0.8280, W04-3102:0.8153, P05-3007:0.8127, W07-1023:0.7949, P03-2008:0.7854
S14-2111 ==> S14-2029:0.7638, S14-2074:0.7518, S14-2091:0.7463, S13-2070:0.7353, N13-1039:0.7289, S14-2015:0.7249, W13-1609:0.7172, S13-2054:0.7149, S13-2081:0.7099, W12-3703:0.7030
C08-1016 ==> W06-1311:0.9694, W06-2906:0.9082, J05-3004:0.8948, W04-0706:0.8757, I05-1065:0.8691, P04-2010:0.8479, W08-2215:0.8334, I05-1063:0.8260, C10-3011:0.8214, W11-1823:0.8142
N09-1032 ==> P08-1029:0.8696, N06-1010:0.8424, N10-1051:0.8263, D09-1158:0.8161, P11-1037:0.8051, D10-1098:0.7903, W10-2418:0.7823, D08-1003:0.7700, P11-1012:0.7663, N13-1042:0.7655
N06-2023 ==> N07-2054:0.9421, W09-3910:0.9198, W09-3934:0.8209, P09-2066:0.8197, P10-1009:0.7787, W04-1008:0.7768, N10-1001:0.7731, W10-0716:0.7699, P08-2051:0.7694, W00-0901:0.7677
D12-1100 ==> W10-2808:0.9105, W10-1503:0.8870, P11-2004:0.8356, N09-1058:0.8306, N12-1083:0.8095, D11-1023:0.8078, P10-2043:0.7992, W11-2122:0.7778, W13-5006:0.7555, P12-3008:0.7507
W06-0301 ==> L08-1088:0.8484, W14-3704:0.8427, S14-2099:0.8239, W10-3309:0.8091, W12-3716:0.7922, H05-2018:0.7815, N03-2022:0.7812, W07-2072:0.7791, P03-2030:0.7746, W12-0413:0.7688
W09-2410 ==> S10-1028:0.8665, W10-2304:0.8533, W12-0112:0.8229, W09-2413:0.8222, P10-1156:0.8194, S10-1023:0.8188, S13-2041:0.8187, I08-1073:0.8181, S14-1005:0.8149, P11-2055:0.8120
P10-4009 ==> N09-2019:0.9488, W10-1729:0.8715, W10-2211:0.8516, N06-2051:0.8218, W08-2118:0.8089, W10-1722:0.7961, P14-1010:0.7809, P06-1001:0.7787, W14-3628:0.7786, W13-2218:0.7756
W14-1505 ==> C14-1137:0.8328, S14-2013:0.8132, W13-3206:0.7933, N13-1134:0.7804, W13-3510:0.7791, S13-2017:0.7767, W14-1406:0.7692, S13-1001:0.7651, W14-1502:0.7641, E14-1025:0.7589
E12-3002 ==> E14-1012:0.6985, W11-2606:0.6463, P11-2081:0.6300, N10-1083:0.6284, J11-3005:0.6158, C10-2099:0.6111, P10-2062:0.6085, C10-1008:0.5964, P12-2023:0.5953, P09-1027:0.5935
H01-1065 ==> H01-1054:0.9415, W00-0405:0.9137, W02-0402:0.9001, W08-2229:0.8686, W00-1426:0.8302, W02-0404:0.7946, W03-0510:0.7938, P02-1059:0.7884, W00-0403:0.7585, N03-4008:0.7574
W10-0713 ==> W10-0728:0.8149, D09-1030:0.8105, W10-0714:0.7663, P11-2008:0.7657, W10-0706:0.7611, C14-1166:0.7575, S13-2065:0.7554, P14-1104:0.7540, N10-1057:0.7493, W10-0707:0.7441
W14-4602 ==> W14-1706:0.9413, C14-3004:0.9178, W14-3615:0.9124, W14-3616:0.9118, W09-1007:0.8909, W14-1701:0.8856, W09-3010:0.8846, W13-3601:0.8835, W12-2006:0.8827, W13-3609:0.8809
D11-1013 ==> P09-2045:0.7414, P09-2043:0.7273, P10-2060:0.7188, W14-4408:0.6903, D12-1117:0.6900, D11-1121:0.6807, P11-1150:0.6785, P08-1036:0.6781, P09-1031:0.6748, W12-4004:0.6734
P11-1045 ==> W12-2107:0.9438, P11-2119:0.9362, J12-4002:0.8862, P14-2129:0.8805, N09-1073:0.8206, C08-1094:0.8163, P10-2037:0.7852, Q13-1025:0.7851, P11-1158:0.7845, N12-1054:0.7842
W10-3908 ==> I05-1023:0.8946, W10-4005:0.8674, W12-0114:0.8268, P06-2095:0.8265, I08-6001:0.8222, C08-1007:0.8201, N09-2007:0.8196, P07-1018:0.8168, L08-1582:0.8132, N10-1070:0.7996
W04-0607 ==> W03-1313:0.9752, W02-1706:0.9654, W03-0812:0.9117, W03-0112:0.9000, W00-0708:0.8950, W03-0802:0.8932, P13-4008:0.8895, W06-2714:0.8772, C02-1071:0.8638, L08-1237:0.8228
